Nome,Currículo Lattes,Nome em Citações Bibliográficas
Raquel de Almeida Moraes,http://lattes.cnpq.br/1993008183702528,"MORAES, Raquel de A;MORAES, Rachel de Almeida;MORAES, Raquel;ALMEIDA MORAES, Raquel;MORAES, R.A.;MORAES, RAQUEL DE ALMEIDA;MORAES, RAQUEL ALMEIDA;MORAES, Rachel Almeida"
Rejane Ennes Cicerelli,http://lattes.cnpq.br/7126684173800825,"ENNES, Rejane;CICERELLI, REJANE E.;CICERELLI, REJANE ENNES;ENNES CICERELLI, REJANE"
René Gottlieb Strehler,http://lattes.cnpq.br/6212956770801291,"STREHLER, R. G."
Ricardo Ruviaro,http://lattes.cnpq.br/3322914857605786,"RUVIARO, R.;RUVIARO, RICARDO"
Roberto de Goes Ellery Junior,http://lattes.cnpq.br/3348928663753300,"ELLERY JUNIOR, R. G.;ELLERY, ROBERTO"
Shirleide Pereira da Silva Cruz,http://lattes.cnpq.br/4975489827151936,"SILVA CRUZ, S. P.;CRUZ, S.P. S.;SILVA CRUZ, Shirleide Pereira da;CRUZ,Shirleide Pereira da Silva;CRUZ, SHIRLEIDE PEREIRA DA SILVA"
Sinara Pollom Zardo,http://lattes.cnpq.br/8712442846699651,"ZARDO, Sinara Pollom;Zardo, Sinara Pollom"
Stéphanie NASUTI,http://lattes.cnpq.br/7149183189202469,"NASUTI, S.;Nasuti, Stéphanie;NASUTI, STEPHANIE"
Suzete Venturelli,http://lattes.cnpq.br/0129810966268826,"VENTURELLI, Suzete;Venturelli, Suzete"
Thérèse Hofmann Gatti Rodrigues da Costa,http://lattes.cnpq.br/6716704101303638,"Hofmann-Gatti,Therese;Costa, T.H.G.R;Gatti, T.H.;HOFMANN GATTI, THÉRÈSE"
Wellington Lourenco de Almeida,http://lattes.cnpq.br/9974866494032588,"ALMEIDA, W. L."
Wender Alves Silva,http://lattes.cnpq.br/3892097876321708,"SILVA, W. A.;da SILVA, W. A;DA SILVA, WENDER A.;DA SILVA, WENDER ALVES;SILVA, WENDER ALVES;SILVA, WENDER;A. DA SILVA, WENDER"
Abdelhak Razky,http://lattes.cnpq.br/8153913927369006,"RAZKY, A.;RAZKY, ABDELHAK"
Adriano Possebon Rosa,http://lattes.cnpq.br/0866611887060018,"ROSA, A. P.;ROSA, ADRIANO POSSEBON;ROSA, A.P.;ROSA, ADRIANO P."
Alice Melo Ribeiro,http://lattes.cnpq.br/9457183337692067,"Ribeiro, A. M;RIBEIRO, ALICE MELO"
Ana Flávia Granja e Barros,http://lattes.cnpq.br/7599253575479186,"BARROS-PLATIAU, A. F.;BARROS-PLATIAU, ANA FLAVIA;BARROS-PLATIAU, ANA FLÁVIA;PLATIAU, ANA FLÀVIA;ANA FLÁVIA GRANJA E BARROS"
Carlos Alberto Pereira dos Santos,http://lattes.cnpq.br/3177072070882420,"Santos, C. A. P.;Santos, C. A.;Santos, Carlos Alberto P.;Santos, C.A.;Carlos Alberto Santos;Santos, Carlos Alberto;Santos, Carlos A.;A. SANTOS, CARLOS"
Clayton Franco Moraes,http://lattes.cnpq.br/5104351623347400,"MORAES, Clayton Franco;MORAES CF;CF MORAES.;MORAES, Clayton F.;FRANCO MORAES, CLAYTON"
Deise Matos do Amparo,http://lattes.cnpq.br/3460390140349596,"AMPARO, D. M.;Menezes, D;Menezes, Deise Matos do Amparo;AMPARO, DEISE MATOS DO"
Denilson Bandeira Coêlho,http://lattes.cnpq.br/4338243715749170,"COELHO, D. B.;COÊLHO, DENILSON BANDEIRA;Coêlho, D.B.;Coelho, Denilson B.;COÊLHO, D. B.;COELHO, DENILSON BANDEIRA.;Coelho, D. B.;Coêlho, Denilson B.;COÊLHO, Denilson Bandeira."
Eclair Antonio Almeida Filho,http://lattes.cnpq.br/3369799579487169,"ALMEIDA FILHO, Eclair Antonio"
Edson Silva de Farias,http://lattes.cnpq.br/8296375817062543,"FARIAS, E. S."
Emerson Dionisio Gomes de Oliveira,http://lattes.cnpq.br/8175059045027748,"OLIVEIRA, E. D. G.;OLIVEIRA, EMERSON DIONISIO GOMES DE;GOMES DE OLIVEIRA, EMERSON DIONISIO"
Emerson Fachin Martins,http://lattes.cnpq.br/3134627091642994,"MARTINS, Emerson Fachin;Martins, Emerson F.;F. Martins, Emerson;Martins, E. F.;Fachin-Martins, E.;FACHIN-MARTINS, E.;FACHIN-MARTINS, EMERSON;FACHIN MARTINS, EMERSON"
Ennio Marques Palmeira,http://lattes.cnpq.br/3468455656914958,"PALMEIRA, E. M.;Palmeira, E. M.;Palmeira, Ennio M.;Palmeira, E.M.;Palmeria, E. M.;Palmira, E.M.;Palmiera, E.M.;PALMEIRA, ENNIO MARQUES"
Ernandes Rodrigues de Alencar,http://lattes.cnpq.br/0646231743976574,"ALENCAR, E. R.;Alencar, Ernandes R. de;Alencar, Ernandes Rodrigues de;Alencar, Ernandes Rodrigues;de Alencar, Ernandes Rodrigues;Ernandes de Rodrigues Alencar;Alencar, Ernandes de Rodrigues;De alencar, Ernandes;ALENCAR, E. RODRIGUES"
Fabiane Hiratsuka Veiga de Souza,http://lattes.cnpq.br/9149642165509168,"VEIGA-SOUZA, FH.;Veiga-Souza, Fabiane H.;Fabiane H. Veiga;Veiga, F.H.;VEIGA-SOUZA, FABIANE HIRATSUKA;VEIGA-SOUZA, FABIANE"
Fabiano Hartmann Peixoto,http://lattes.cnpq.br/4477453804129501,"PEIXOTO, F. H.;Fabiano Hartmann Peixoto;Peixoto, Fabiano Hartmann;PEIXOTO, FABIANO HARTMANN;HARTMANN PEIXOTO, Fabiano"
Flávia de Oliveira Maia Pires,http://lattes.cnpq.br/7207323853869335,"MAIA-PIRES, Flávia de O."
Francisco Antonio Coelho Junior,http://lattes.cnpq.br/2039484969238906,"COELHO JUNIOR, F. A.;JUNIOR, FRANCISCO ANTONIO COELHO;COELHO JUNIOR, FRANCISCO ANTONIO"
Francisco Thiago Silva,http://lattes.cnpq.br/1498719376426045,"SILVA, F. T.;SILVA, FRANCISCO THIAGO"
Gabriela Sousa de Melo Mieto,http://lattes.cnpq.br/3849155640006881,"MIETO, Gabriela Sousa de Melo / MELO, Gabriela Sousa de;MIETO, GABRIELA SOUSA DE MELO"
Georges Daniel Amvame Nze,http://lattes.cnpq.br/5810353896294133,"AMVAME-NZE, G.;AMVAME-NZE, GEORGES D;AMVAME NZE, GEORGES;AMVAME NZE, GEORGES DANIEL"
Graciela Nora Doz de Carvalho,http://lattes.cnpq.br/7606353024542498,"DOZ, G. N.;CARVALHO, GRACIELA NORA DOZ DE;DOZ, G.;Doz, Graciela N.;Graciela Doz;Doz, Graciela;Carvalho, G. N. D. de;GRACIELA NORA DOZ DE CARVALHO;Graciela Nora Doz;Doz, Graciela Nora"
Gustavo Macedo de Mello Baptista,http://lattes.cnpq.br/7461437118914206,"BAPTISTA, Gustavo Macedo de Mello;BAPTISTA, GUSTAVO MACEDO DE MELLO;Gustavo M. M. Baptista;BAPTISTA, GUSTAVO;BAPTISTA, G. M. M.;Baptista, Gustavo Macedo de Melo;BAPTISTA, GUSTAVO M. DE MELLO;MACEDO DE MELLO BAPTISTA, GUSTAVO"
Haydée Glória Cruz Caruso,http://lattes.cnpq.br/6889569648252727,"CARUSO, Haydée;CARUSO, HAYDÉE"
Hemar Teixeira Godinho,http://lattes.cnpq.br/5551839953108365,"Godinho, H."
Iracema de Almeida Lecourt,http://lattes.cnpq.br/0783513923704444,"BARBOSA , Iracema;LECOURT, Iracema"
Izabel Cristina Bruno Bacellar Zaneti,http://lattes.cnpq.br/6400809887186849,"ZANETI, I. C. B. B.;ZANETI, IZABEL CRISTINA BRUNO BACELLAR;BACELLAR ZANETI, IZABEL CRISTINA BRUNO;ZANETI, IZABEL C. B. B."
Janaina Lopes do Nascimento Duarte,http://lattes.cnpq.br/5846557204227874,"DUARTE, J. L. do N."
Jiazheng Zhou,http://lattes.cnpq.br/0414217631472109,"ZHOU, J.;ZHOU, JIAZHENG"
Joara Martin Bergsleithner,http://lattes.cnpq.br/4545189340083860,"BERGSLEITHNER, J. M."
Jonilto Costa Sousa,http://lattes.cnpq.br/2798671439590312,"SOUSA, J. C.;SOUSA, JONILTO COSTA;SOUSA, JONILTO"
Jose Carlos Paes de Almeida Filho,http://lattes.cnpq.br/6713011855280201,"ALMEIDA FILHO, J. C. P.;ALMEIDA FILHO, JOSÉ CARLOS PAES DE"
Jose Roberto Pujol Luz,http://lattes.cnpq.br/8145524739608644,"Pujol-Luz, J. R.;Pujol-Luz, José Roberto;JR Pujol-Luz;Luz, J.R.P.;Pujol-Luz, J.R.;PUJOL-LUZ, JR;PUJOL-LUZ, J R;PUJOL-LUZ, JOSE ROBERTO;José Roberto Pujol Luz;José Roberto Pujol-Luz;PUJOL-LUZ, JOSÉ;PUJOL'LUZ, JOSÉ ROBERTO"
Juliano Alexandre Chaker,http://lattes.cnpq.br/1552453739678173,"CHAKER, J. A.;CHAKER, J.;CHAKER, JULIANO A.;CHAKER, JULIANO ALEXANDRE"
Kênia Augusta Figueiredo,http://lattes.cnpq.br/5123821985026404,"FIGUEIREDO, K. A.;FIGUEIREDO, KÊNIA AUGUSTA"
Leandro Augusto Hilgert,http://lattes.cnpq.br/2679075593598898,"HILGERT, Leandro Augusto;Hilgert, Leandro Augusto;Hilgert, Leandro A.;Hilgert, LA;HILGERT, L. A.;Hilgert, L;Hilgert, Leandro"
Li Weigang,http://lattes.cnpq.br/4218593188956443,"WEIGANG, L.;Weigang, Li;LI, WEIGANG;Li, W.;Weigang Li;LI WEIGANG"
Lillian Maria Araújo de Rezende Alvares,http://lattes.cnpq.br/5541636086123721,"Alvares, L.;Lillian Maria Araújo de Rezende Alvares;ALVARES, LILLIAN MARIA ARAÚJO DE REZENDE;ALVARES, L. M. A. de R.;ALVARES, L."
Luciana Hartmann,http://lattes.cnpq.br/8454367473690262,"HARTMANN, L.;HARTMANN, LUCIANA"
Luiz Alberto Gurgel de Faria,http://lattes.cnpq.br/3367957952491833,"FARIA, L. A. G."
Luiz Eduardo Bassay Blum,http://lattes.cnpq.br/3545257559534992,"BLUM, L. E. B.;Blum, Luiz Eduardo Bassay;Luiz E.B. Blum;Luiz Eduardo Bassay Blum;Blum, Luiz E.B.;Blum, L.E.B.;BLUM, LUIZ E. B."
Luiz Guilherme de Oliveira,http://lattes.cnpq.br/8270727532393747,"OLIVEIRA, L. G."
Margô Gomes de Oliveira Karnikowski,http://lattes.cnpq.br/3925116705394748,"KARNIKOWSKI, M. G. O.;Karnikowski, M. G. O.;KARNIKOWSKI, MARGÔ GOMES DE OLIVEIRA;GOMES DE OLIVEIRA KARNIKOWSKI, MARGÔ;KARNIKOWSKI, MARGÔ GOMES OLIVEIRA;KARNIKOWSKI, MARGÔ G;DE OLIVEIRA KARNIKOWSKI, MARGÔ GOMES;DE OLIVEIRA KARNIKOWSKI, MARGO GOMES;KARNIKOWSKI, MARGO GOMES DE OLIVEIRA;MARGO GOMES DE OLIVEIRA KARNIKOWSKI;KARNIKOWSKI, MARGÔ G.O."
Maria Cecília Pedreira de Almeida,http://lattes.cnpq.br/6031468629850352,"ALMEIDA, Maria Cecília Pedreira de"
Maria José Araújo Sales,http://lattes.cnpq.br/6121696025910161,"SALES, Maria José Araújo;Sales, Maria José A.;Sales, M. J. A.;Maria J. A. Sales;Sales, Maria J. A.;SALES, MARIA J.A.;SALES, MARIA JOSE A;SALES, M J A;SALES, MARIA JOSÉ ARAUJO;ARAÚJO SALES, MARIA JOSÉ"
Maria del Carmen de la Torre Aranda,http://lattes.cnpq.br/1974288627650669,"ARANDA, Maria del Carmen de la Torre"
Maria do Carmo Couto da Silva,http://lattes.cnpq.br/1069885622357189,"SILVA, Maria Do Carmo Couto da;SILVA, MARIA DO CARMO COUTO DA"
Maria do Carmo de Lima Bezerra,http://lattes.cnpq.br/8485430007155664,"BEZERRA, M. C. L.;BEZERRA, MARIA DO CARMO DE LIMA;Bezerra, Maria do Carmo"
Mariléia Goin,http://lattes.cnpq.br/8917872042158875,"GOIN, M.;GOIN, MARILÉIA;GOIN, MARILEIA"
Mauro Eloi Nappo,http://lattes.cnpq.br/4038904353437470,"NAPPO, Mauro Eloi;NAPPO, M. E."
Mauro Luiz Rabelo,http://lattes.cnpq.br/8215637466536468,"RABELO, M. L.;RABELO, MAURO LUIZ;RABELO, MAURO;RABELO, M."
Michelle Machado de Oliveira Vilarinho,http://lattes.cnpq.br/8246575192580761,"VILARINHO;VILARINHO, MICHELLE MACHADO DE OLIVEIRA"
Moisés Villamil Balestro,http://lattes.cnpq.br/5043432252216418,"BALESTRO, M. V."
Muriel Bauermann Gubert,http://lattes.cnpq.br/6128514581228342,"GUBERT, M. B.;GUBERT, MURIEL BAUERMAN;GUBERT, MURIEL BAUERMANN;GUBERT, MURIEL B.;GUBERT, MURIEL B;BAUERMANN G, MURIEL"
Newton Narciso Gomes Junior,http://lattes.cnpq.br/5755545515133754,"GOMES JUNIOR, N. N."
Osvaldo Kiyoshi Yamanishi,http://lattes.cnpq.br/6110730954006985,"YAMANISHI, O. K.;YAMANISHI, OSVALDO KIYOSHI;YAMANISHI, O.K.;Oswaldo Kiyoshi Yamanishi;YAMANISHI, OSWALDO KIYOSHI"
Pablo Holmes Chaves,http://lattes.cnpq.br/5849457806960544,"HOLMES, Pablo;Holmes, Pablo;Holmes"
Paulo Augusto Pettenuzzo de Britto,http://lattes.cnpq.br/8801317938905787,"de BRITTO, Paulo A.;BRITTO, PAULO AUGUSTO P.;Britto, P. A.;de Britto, P. A.;Britto, P. P.;BRITTO, PAULO AUGUSTO;BRITTO, PAULO AUGUSTO PETENUZZO"
