Nome,Currículo Lattes,Nome em Citações Bibliográficas
João Paulo Chieregato Matheus,http://lattes.cnpq.br/5275150372499463,"MATHEUS, João Paulo Chieregato;CHIREGATTO, João Paulo Matheus;MATHEUS, JOAO PAULO C.;CHIEREGATO MATHEUS, JOÃO PAULO;MATHEUS, JOÃO P. C.;MATHEUS, JOAO PAULO CHIEREGATO;MATHEUS, J. P. C.;MATHEUS, JPC;MATHEUS, JOÃO PAULO C.;CHIEREGATO MATHEUS, JOAO PAULO;PAULO CHIEREGATO MATHEUS, JOÃO"
Jorge Luis Lopes Zeredo,http://lattes.cnpq.br/6336852108715478,"ZEREDO, J. L.;Zeredo, J. L.;Zeredo, Jorge L.;Zeredo, Jorge L;ZEREDO, JORGE LUIS LOPES;Zeredo, J.;Zeredo, J. L. L."
Liana Barbaresco Gomide Matheus,http://lattes.cnpq.br/2619805302157492,"GOMIDE, Liana Barbaresco;MATHEUS, Liana Barbaresco Gomide;BARBARESCO GOMIDE, LIANA;L. B. Gomide;Gomide, L. B.;Gomide, L.B.;GOMIDE, LB;GOMIDE MATHEUS, LIANA BARBARESCO;Matheus, Liana;Matheus, L;GOMIDE MATEUS, LIANA BARBARESCO;Matheus, Liana B. G.;Barbaresco Gomide Matheus, Liana"
Liza Maria Souza de Andrade,http://lattes.cnpq.br/9661028896672932,"ANDRADE, Liza M. S.;ANDRADE, LIZA MARIA SOUZA DE"
Luiz Honorato da Silva Júnior,http://lattes.cnpq.br/1741285388725128,"SILVA JÚNIOR, L. H.;Luiz Honorato da Silva Júnior;da Silva Júnior"
Marcelo Menezes de Carvalho,http://lattes.cnpq.br/1641340120936086,"CARVALHO, M. M.;Carvalho, Marcelo M.;CARVALHO, M.M."
Maria do Carmo Machado Guimarães,http://lattes.cnpq.br/0103018339093743,"GUIMARÃES, Maria do Carmo Machado;GUIMARÃES, MARIA DO CARMO MACHADO;MARIA DO CARMO GUIMARAES;GUIMARÃES MARIA DO CARMO;GUIMARÃES, MARIA DO CARMO"
Mariana de Senzi Zancul,http://lattes.cnpq.br/0428584036773760,"ZANCUL, M. S.;ZANCUL, MARIANA DE SENZI"
Mylene Christine Queiroz de Farias,http://lattes.cnpq.br/4465619366143200,"Farias*, Mylène C. Q.;Farias, Mylène C. Q.;Mylene C.Q. Farias;FARIAS, Mylene Christine Queiroz de;Farias, Mylene C.Q.;Farias, M. C.Q.;Farias, Mylene .Q.;Farias, M. Q.;FARIAS, MYLENE;Farias, Mylene Q;MYLENE Q FARIAS;FARIAS, MYLENE C. Q.;FARIAS, MYLÈNE C.Q.;FARIAS, M.C.Q.;C.Q. FARIAS, MYLÈNE;DE FARIAS, MYLENE CHRISTINE QUEIROZ;DE Farias, M. C. Q.;DE FARIAS, Mylene;DE FARIAS, M.C.Q.;FARIAS, M.;Q. FARIAS, MYLÈNE C."
Natalia Hauser,http://lattes.cnpq.br/4503802835022536,"HAUSER, N.;HAUSER, NATALIA;HAUSER, N."
Ormezinda Maria Ribeiro,http://lattes.cnpq.br/1303707962390972,"RIBEIRO, O. M."
Patricia Medeiros de Souza,http://lattes.cnpq.br/1471229496561227,"Medeiros-Souza, P.;SOUSA, Patrícia M. de;SOUSA, P. M.;SOUSA, Patrícia Medeiros de;Louly, Priscila Gebrim;MEDEIROS-SOUZA, PATRÍCIA;MEDEIROS-SOUZA, PATRICIA;SOUZA, PATRÍCIA MEDEIROS DE"
Patrícia de Souza Rezende,http://lattes.cnpq.br/2165795582306779,"REZENDE, P. S."
Paula Elaine Diniz dos Reis,http://lattes.cnpq.br/5466808863759700,"REIS, P. E. D.;Dos Reis, PED;Reis, PED;Reis, Paula Elaine Diniz dos;Reis, Paula Elaine Diniz;dos Reis, PED;dos Reis, Paula Elaine Diniz;DOS REIS, PAULA E;Dos Reis, Paula E. D.;DOS REIS, PAULA E.D."
Raul Yukihiro Matsushita,http://lattes.cnpq.br/2722420136334883,"MATSUSHITA, R.;MATSUSHITA, RAUL;RAUL MATSUSHITA;Raul Matsushita;MATSUSHITA, RAUL YUKIHIRO"
Renato Pinto da Cunha,http://lattes.cnpq.br/9013693430617718,"CUNHA, R. P.;CUNHA, RENATO P.;RENATO P. CUNHA;RENATO, CUNHA;DA CUNHA, RENATO P;CUNHA, R.;PINTO DA CUNHA, RENATO;DA CUNHA, RENATO;R.P. Cunha;R.P. CUNHA;CUNHA, RENATO PINTO DA;CUNHA, RENATO PINTO"
Rosana Tidon,http://lattes.cnpq.br/1456657421809884,"TIDON ou TIDONSKLORZ, R;TIDON, R.;TIDON, ROSANA;R. Tidon;Tidon-Sklorz, Rosana;Tidon-Sklorz, R.;Tidon, R.;Tidon R;TidonSklorz, R."
Válmi Hatje-Faggion,http://lattes.cnpq.br/7237687470210729,"HATJE-FAGGION, Válmi"
Wilma Maria Coelho Araújo,http://lattes.cnpq.br/2485737217147204,"ARAÚJO, W. M. C.;ARAÚJO, W.;ARAÚJO;Wilma Maria Coelho;ARAÚJO, W.M.C.;ARAÚJO, WILMA MARIA COELHO;ARAÚJO, WILMA M. C.;W.C.Araújo;COELHO ARAÚJO, WILMA MARIA;ARAUJO, WILMAM.C.;ARAÚJO, WILMA M.C.;ARAUJO, WILMA MARIA COELHO;WILMA MARIA COELHO ARAÚJO;ARAÚJO, WILMA;Wilma Maria Coelho Araújo"
Ailton Teixeira do Vale,http://lattes.cnpq.br/9046091156129405,"VALE, Ailton Teixeira Do;VALE, AILTON TEIXEIRA DO;VALE, AILTON TEIXEIRA;AILTON, TEIXEIRA DO VALE;VALE, TEIXEIRA;TEIXEIRA DO VALE, A"
Aldo Antonio de Azevedo,http://lattes.cnpq.br/8385905972506762,"AZEVEDO, A. A."
Aldo Henrique Fonseca Pacheco Tavares,http://lattes.cnpq.br/7992827773890772,"TAVARES, A. H;Tavares, A. H.;TAVARES, A;Tavares, Aldo H.;Tavares A. H. F. P.;TAVARES, A. H. F. P.;Aldo H. F. P. Tavares;Tavares;Tavares AH;FELIPE, M.S.S;FELIPE, M. S. S.;TAVARES, ALDO HENRIQUE;TAVARES, ALDO HENRIQUE F. P.;TAVARES, A H"
Aline Mondini Calil Racanicci,http://lattes.cnpq.br/5304081966255411,"RACANICCI, AMC;RACANICCI, ALINE MONDINI C.;RACANICCI, ALINE M C;RACANICCI, ALINE;RACANICCI, ALINE MONDINI CALIL"
Aline Oliveira Silveira,http://lattes.cnpq.br/5217760680333753,"SILVEIRA, Aline O.;Silveira, Aline Oliveira"
Aline Teixeira Alves,http://lattes.cnpq.br/0720553738959593,"ALVES, A. T.;Aline Teixeira Alves;Alves, Aline Teixeira;Aline T. Alves;ALINE TEIXEIRA ALVES;ALVES, A.T.;Alves, A.T.;Aline Alves;Alves Aline;ALVES, ALINE T.;TEIXEIRA ALVES, ALINE;TEIXEIRA ALVE, ALINE"
André Luís Brasil Cavalcante,http://lattes.cnpq.br/1515779118499986,"CAVALCANTE, André Luís Brasil;Cavalcante, A.L.B.;Cavalcante, André L. B.;Cavalcante, A.;BRASIL CAVALCANTE, ANDRÉ LUÍS;CAVALCANTE, ANDRÉ L.B.;CAVALCANTE, ANDRÉ LUÍS B.;ANDRÉ LUÍS BRASIL CAVALCANTE;ANDRE LUÍS BRASIL CAVALCANTE;ANDRÉ LUIS BRASIL CAVALCANTE;Cavalcante, Andre L. B."
Andre Noll Barreto,http://lattes.cnpq.br/8999676470821349,"BARRETO, Andre Noll;Barreto, A.N.;BARRETO, ANDRE N.;Barreto, Andre;BARRETO, ANDRÉ;ANDRE N BARRETO;BARRETO, A. N.;BARRETO, ANDRÉ NOLL;NOLL-BARRETO, ANDRE;NOLL BARRETO, ANDRE;BARRETO, ANDR;BARRETO, NOLL;Barreto, Andr noll"
Antônio Augusto Souza Mello,http://lattes.cnpq.br/1154852591738544,"MELLO, A. A. S.;SOUZA MELLO, ANTÔNIO AUGUSTO"
Catarina Labouré Bemfica Toledo,http://lattes.cnpq.br/8844630785096947,"TOLEDO, C. L.B;Bemfica Toledo,C.L.;TOLEDO, CATARINA LABOURÉ BEMFICA;TOLEDO, C. L. B.;TOLEDO, CATARINA LABOURE BEMFICA"
Cintia da Silva Pacheco,http://lattes.cnpq.br/9969912965708884,"PACHECO, C. S."
Cláudio Fortes Garcia Lorenzo,http://lattes.cnpq.br/0175315988425138,"LORENZO, C.;LORENZO, CLÁUDIO FORTES GARCIA;LORENZO, CLÁUDIO;GARCIA LORENZO, CLAUDIO FORTES"
Cláudio Vaz Torres,http://lattes.cnpq.br/3544401899360228,"TORRES, C. V.;Torres, Claudio Vaz;TORRES, C.;TORRES, CLAUDIO;TORRES, CLÁUDIO;TORRES, CLÁUDIO V."
Cristiane Gomes Barreto,http://lattes.cnpq.br/3536396604369119,"BATISTA, C. G.;BARRETO, C. G.;BATISTA, CRISTIANE GOMES;BARRETO, CRISTIANE GOMES;BARRETO, CRISTIANE"
Cristiano Barros de Melo,http://lattes.cnpq.br/1686704472655874,"MELO, C. B.;de MELO, C.B.;Melo, C.B.;Melo, Cristiano Barros de;Melo, Cristiano Barros;MELO, CRISTIANO;De Melo, Cristiano;DE MELO, CRISTIANO BARROS;DE MELO, CRISTIANO B."
Cristine Alves Costa de Jesus,http://lattes.cnpq.br/7518120034613984,"JESUS, C. A. C.;JESUS, C.A.C. de;de JESUS CAC;JESUS, CRISTINE ALVES COSTA DE;Jesus, Cristine Aves Costa de;ALVES COSTA DE JESUS, CRISTINE"
Cynthia Maria Kyaw,http://lattes.cnpq.br/4515344457117900,"KYAW, C. M.;Kyaw, Cynthia M.;Kyaw, C.M.;KYAW, CYNTHIA MARIA"
Daniela Fávaro Garrossini,http://lattes.cnpq.br/4887266557816573,"GARROSSINI, D. F.;GARROSSINI, DANIELA FÁVARO;GARROSSINI, DANIELA;FAVARO GARROSSINI, DANIELA"
Debora Bonat,http://lattes.cnpq.br/0592777037581128,"BONAT, Debora;BONAT, DEBORA;BONAT, DÉBORA"
Edilson de Souza Bias,http://lattes.cnpq.br/3035374199466563,"BIAS, Edilson de Souza;LASSE, Eveline Silva de Lima;RIBEIRO, RÔMULO JOSÉ DA COSTA;BIAS, EDILSON DE SOUZA;BIAS, EDILSON DE SOUSA;BIAS, E. S.;BIAS, EDILSON"
Eduardo Monteiro de Castro Gomes,http://lattes.cnpq.br/7963774436208758,"GOMES, E. M. C.;GOMES, EDUARDO M. C.;MONTEIRO, EDUARDO;GOMES, EDUARDO MONTEIRO DE CASTRO"
Edvaldo Aparecido Bergamo,http://lattes.cnpq.br/7021881106861960,"BERGAMO, E. A.;BERGAMO, EDVALDO"
Elaine Barros Ferreira,http://lattes.cnpq.br/7942825764647263,"FERREIRA, E. B.;FERREIRA, ELAINE BARROS"
Elisa Duarte Teixeira,http://lattes.cnpq.br/2718046708360707,"TEIXEIRA, E.D.;TEIXEIRA, ELISA DUARTE;Teixeira, Elisa D."
Eraldo Aparecido Trondoli Matricardi,http://lattes.cnpq.br/3238397066723847,"MATRICARDI, E. A. T.;Matricardi, Eraldo A.T.;Matricardi, Eraldo;MATRICARDI, ERALDO APARECIDO T.;MATRICARDI, ERALDO A. T.;MATRICARDI, ERALDO APARECIDO TRONDOLI;Eraldo Aparecido Trondoli Matricardi;MATRICARDI, EAT;ERALDO, APARECIDO TRONDOLI MATRICARDI;TRONDOLI, ERALDO APARECIDO;ERALDO T. MATRICARDI;MATRICARDI, ERALDO T."
Fabricio Ataides Braz,http://lattes.cnpq.br/1700216932505005,"BRAZ, F. A.;BRAZ, FABRICIO"
Federico Alberto Cuadros Jiménez,http://lattes.cnpq.br/7452546963242852,"CUADROS, F. A.;Cuadros, Federico A.;JIMÉNEZ, FEDERICO ALBERTO CUADROS;CUADROS JIMÉNEZ, FEDERICO ALBERTO"
Germana Henriques Pereira,http://lattes.cnpq.br/5479032498605468,"SOUSA, G. H. P.;DE SOUSA, GERMANA HENRIQUES PEREIRA;Germana Henriques Pereira;PEREIRA, Germana Henriques;HENRIQUES PEREIRA, Germana"
Gisele Martins,http://lattes.cnpq.br/0938329840216223,"Martins, Gisele;MARTINS, GISELE"
Ivette Kafure Muñoz,http://lattes.cnpq.br/4609811632387529,"KAFURE, Ivette;KAFURE, IVETTE;Kafure Muñoz, Ivette;Kafure-Muñoz, Ivette;Kafure-Munoz, Ivette;Muñoz, Ivette;Munoz, Ivette;KAFURE, I;MUNOZ, Ivette Kafure"
Jader Galba Busato,http://lattes.cnpq.br/6403427750833514,"BUSATO, Jader Galba;Busato, Jader Galba;GALBA BUSATO, JADER;BUSATO, JADER G;BUSATO, JADER;BUSATO, JADER G."
Jhon Nero Vaz Goulart,http://lattes.cnpq.br/7863382021033244,"GOULART, J. N. V.;Jhon N. V. Goulart;GOULART, JHON NERO VAZ;GOULART, JHON"
José Alves Dantas,http://lattes.cnpq.br/4292408391743938,"DANTAS, José Alves;DANTAS, JOSÉ ALVES;DANTAS, J.A"
Laercia Abreu Vasconcelos,http://lattes.cnpq.br/6210077671405608,"VASCONCELOS, Laercia Abreu;VASCONCELOS, LAÉRCIA ABREU;VASCONCELOS, LAÉRCIA A."
Laiane Medeiros Ribeiro,http://lattes.cnpq.br/4499537774163139,"Laiane Medeiros Ribeiro;RIBEIRO,L.M;RIBEIRO, LAIANE MEDEIROS"
Laila Salmen Espindola,http://lattes.cnpq.br/6185369922144905,"ESPINDOLA L. S.;ESPINDOLA, LAILA S.;ESPINDOLA, LAILA SALMEN;ESPINDOLA, LAILA"
Luis Abraham Cayón Durán,http://lattes.cnpq.br/6491817482510411,"Cayón, Luis;Cayón, L."
Márcia Duarte Pinho,http://lattes.cnpq.br/1661626265460056,"PINHO, M. D."
Maria Clarisse Vieira,http://lattes.cnpq.br/8701989467105177,"VIEIRA, M. C.;VIEIRA, MARIA CLARISSE"
Maria Emilia Schutesky Della Giustina,http://lattes.cnpq.br/3198521143047615,"Giustina, M. E. S. D.;Giustina, Maria Emilia Schutesky Della;Della Giustina, Maria Emilia Schutesky;DellaGiustina, Maria Emilia Schutesky"
Maria Fatima de Sousa,http://lattes.cnpq.br/7405541534944144,"SOUSA, M. F. DE;SOUSA, M.F.;SOUSA, MARIA FÁTIMA DE;SOUSA, MARIA FÁTIMA;DE SOUSA, MARIA FÁTIMA;SOUSA, MARIA FATIMA DE;DE SOUSA, MARIA FATIMA;FATIMA DE SOUSA, MARIA"
Maria Osanette de Medeiros,http://lattes.cnpq.br/5918960051490357,"MEDEIROS, M. O."
Michelli Pereira da Costa,http://lattes.cnpq.br/5676915146365703,"COSTA, M. P.;COSTA, M.;Costa, M.;COSTA, MICHELLI PEREIRA DA"
Nilson Francisquini Botelho,http://lattes.cnpq.br/2430062237829411,"BOTELHO, N. F.;Botelho, Nilson Francisquini;BOTELHO, NILSON F.;BOTELHO, N.F;BOTELHO, NILSON;BOTELHO, N.F."
Nilton Correia da Silva,http://lattes.cnpq.br/5916642485883241,"SILVA, N. C.;SILVA, NILTON C.;SILVA, N. CORREIA;SILVA, Nilton Correia da;SILVA, NILTON;Nilton Correia da Silva;Silva, Nilton;Nilton Correia"
Pastor Willy Gonzales Taco,http://lattes.cnpq.br/9878324695903634,"TACO, P. W. G.;TACO, PASTOR WILLY GONZALES;TACO, PASTOR;PASTOR TACO;TACO, PASTO WILLY GONZALES;TACO, P.W.G.;WILLY GONZALES TACO"
Paulo Medeiros Júnior,http://lattes.cnpq.br/7419993145760201,"MEDEIROS JUNIOR, Paulo;MEDEIROS JÚNIOR, PAULO"
Renata Alves Monteiro,http://lattes.cnpq.br/9192787865431714,"MONTEIRO, R.A.;Monteiro, Renata Alves;Monteiro, Renata"
Reuber Albuquerque Brandao,http://lattes.cnpq.br/5804582372968711,"BRANDAO, R. A.;Brandão, Reuber A.;Brandão, Reuber Albuquerque;BRANDÃO, REUBER;Brandão, R.A."
Ricardo Gargano,http://lattes.cnpq.br/6682074601211769,"GARGANO, R.;Gargano, Ricardo"
Rogério da Silva Lima,http://lattes.cnpq.br/2929899812598313,"LIMA, R. S.;Rogério Lima;LIMA, ROGÉRIO"
Sabine Gorovitz,http://lattes.cnpq.br/1128682155965179,"GOROVITZ, S."
Sandra Maria da Luz,http://lattes.cnpq.br/8496203489725993,"LUZ, S. M.;Luz, S.M.;Luz, Sandra M.;da Luz, Sandra Maria;da Luz, Sandra;LUZ, SANDRA MARIA DA;Sandra Maria Luz;Luz SM;LUZ, SANDRA MARIA"
Sergio Barreira de Faria Tavolaro,http://lattes.cnpq.br/5442207538362236,"TAVOLARO, Sergio B. F.;Tavolaro, Sergio B. F.;TAVOLARO, SERGIO BARREIRA DE FARIA;TAVOLARO, SERGIO B. F"
Sueli Maria Gomes,http://lattes.cnpq.br/5881872074435086,"GOMES, S. M.;Gomes, Sueli Maria;GOMES, S.M.;Gomes, S.M.;Gomes, S. M.;Gomes, Sueli M.;GOMES, SUELÍ MARIA;GOMES, SUELI;S.M. GOMES"
Suélia de Siqueira Rodrigues Fleury Rosa,http://lattes.cnpq.br/1154673226500318,"RODRIGUES, Suélia de Siqueira Fleury Rosa;ROSA, SUÉLIA DE SIQUEIRA RODRIGUES FLEURY;Suelia Rodrigues Fleury;RODRIGUES, SUÉLIA F.;S.R.F. Rosa;S. Rodrigues Fleury Rosa;Suelia de Siqueira Rodrigues Fleury Rosa;ROSA, SUELIA RODRIGUES FLEURY;Suélia Rodrigues Fleury Rosa;RODRIGUES FLEURY ROSA, SUÉLIA;Suelia Rodrigues Fleury Rosa;ROSA, S.S.R.F.;FLEURY ROSA, SUÉLIA RODRIGUES;Fleury, S.R.;FLEURY, S. R.;DE S. R. F. ROSA, SUÉLIA;ROSA, S. S. R. F.;Rosa, Suélia d.S.R.F.;Rodrigues S. S.;de Siqueira Rodrigues Fleury Rosa, Suélia;Rosa, Suélia Rodrigues Siqueira Fleury;Rosa, Suélia Rodriguez Fleury"
Thatianny Tanferri de Brito Paranaguá,http://lattes.cnpq.br/2760680486381627,"PARANAGUÁ, T. T. B.;PARANAGUÁ, THATIANNY TANFERRI DE BRITO"
Vera Marisa Pugliese de Castro,http://lattes.cnpq.br/0224720066630208,"PUGLIESE, Vera;PUGLIESE DE CASTRO, Vera M.;PUGLIESE, V.;PUGLIESE DE CASTRO, V. M.;PUGLIESE DE CASTRO, V.;CASTRO, Vera M. P. de"
Vinicius Amorim Sobreiro,http://lattes.cnpq.br/3150339971293179,"SOBREIRO, Vinicius Amorim;Sobreiro, Vinicius Amorim;SOBREIRO, V. A.;SOBREIRO, VINICIUS AMORIM;SOBREIRO, VINICIUS"
Ximena Pamela Claudia Díaz Bermúdez,http://lattes.cnpq.br/1598351909460233,"DIAZ-BERMÚDEZ, X,P.;Diaz-Bermúdez, Ximena P.;BERMUDEZ, XIMENA PAMELA CLAUDIA DIAS;Diaz bermudez;Diaz Bermudez Ximena Pamela;BERMÚDEZ, XIMENA PAMELA DÍAS;DÍAZ-BERMÚDEZ, XIMENA PAMELA;BERMUDEZ, XIMENA PAMELA DÍAZ;BERMÚDEZ, XIMENA PAMELA DÍAZ;Bermúdez Ximena Pamela;BERMÚDEZ, XIMENA PAMELA;BERMUDEZ, XIMENA PAMELA DIAZ;BERMÚDEZ, XIMENA P. DÍAZ;BERMUDEZ, XIMENA PAMELA;Ximena Pamela Claudia Diaz Bermudez"
Ana Míriam Wuensch,http://lattes.cnpq.br/0042777902208426,"WUENSCH, Ana Míriam;WUENSCH, A.M.;WUENSCH, ANA MIRIAM"
Ana Valéria Machado Mendonça,http://lattes.cnpq.br/9570611542344742,"MENDONÇA, A. V. M.;MENDONCA, ANA VALERIA MACHADO;MENDONÇA, ANA VALÉRIA MACHADO;VALÉRIA MACHADO MENDONÇA, ANA"
Andrea Barretto Motoyama,http://lattes.cnpq.br/6229434599232057,"MOTOYAMA, A. B;MOTOYAMA, A.;MOTOYAMA, AB;MOTOYAMA AB;MOTOYAMA, A.B.;MOTOYAMA, ANDREA BARRETTO;MOTOYAMA, Andrea Barreto;MOTOYAMA, ANDREA"
Anna Carolina Faleiros Martins,http://lattes.cnpq.br/1645354247414156,"FALEIROS-MARTINS, A.C.;Faleiros-Martins, Anna Carolina;FALEIROS-MARTINS, ANNA C"
Antonio Carlos de Oliveira Miranda,http://lattes.cnpq.br/2199847402213150,"MIRANDA, A. C. O.;de Oliveira Miranda, Antonio Carlos;DEOLIVEIRAMIRANDA, A;Miranda, ACO;MIRANDA, ANTONIO C. O.;MIRANDA, ANTONIO CARLOS DE OLIVEIRA;CARLOS DE OLIVEIRA MIRANDA, ANTONIO;MIRANDA, A.C.O.;MIRANDA, ANTONIO;C. O. MIRANDA, ANTONIO;C.O. MIRANDA, ANTONIO"
Carlos Henrique Marques da Rocha,http://lattes.cnpq.br/0464073041910151,"ROCHA, C. H."
Carlos José Souza de Alvarenga,http://lattes.cnpq.br/1777209584898672,"ALVARENGA, C. J. S.;Alvarenga, C.J.S.;dealvarenga, C.J.S.;de Alvarenga, C.J.S.;ALVARENGA, CARLOS J. S.;ALVARENGA, CARLOS J.S.;ALVARENGA, CARLOS JOSÉ SOUZA DE;De Alvarenga, C.J.S.;deAlvarenga, C.J.S;Alvarenga;Alvarenga, Carlos José Souza;Alvarenga, Carlos Jose Souza;Carlos José Souza de Alvarenga;Carlos J S Alvarenga;Carlos José Alvarenga;ALVARENGA, Arlos José Souza de;ALVARENGA, CARLOS J. S. DE;Carlos José de Souza Alvarenga;ALVARENGA, CARLOS JOSÉ DE SOUZA"
Christiana Soares de Freitas,http://lattes.cnpq.br/5250541522722172,"FREITAS, C. S.;FREITAS, CHRISTIANA SOARES DE"
Claudia Mara Pedrosa,http://lattes.cnpq.br/6277067663586885,"PEDROSA, C. M.;Pedrosa, Claudia Mara"
Claudia Marcia Lyra Pato,http://lattes.cnpq.br/7129990465183970,"PATO, Claudia;Pato-Oliveira, Claudia"
Concepta Margaret McManus Pimentel,http://lattes.cnpq.br/6052239712915301,"McManus, Concepta;McManus, Concepta M;McManus, C.M.;McManus, C.;McManus, Connie;McManus, Concepta Margaret;McManus, Concepta M.;Pimentel, Concepta Margaret McManus;McManus, C. M. P.;McManus, C.M;McManus, C.P.;MacManus, C.;McMannus, Concepta;Pimentel, Concepta McManus;Pimentel, C.M.M.;McManus C;MCMANUS, C;MCMANUS, C.M.;Pimentel, C.M.;MCMANUS PIMENTEL, CONCEPTA MARGARET;Concepta Margareth McManus;MCMANUS, CONCEPTA MARGARETH;MC MANUS, CM;Cncepta M. McManus;MCMANUS, CNCEPTA M.;MCMAUS CC;MCMAUS, C C;MCMANUS, CONCEPTA."
Corina Elizabeth Satler,http://lattes.cnpq.br/4909947416140473,"Satler, Corina;Satler, Corina Elizabeth;SATLER, C.;SATLER, CORINA E."
Cristiane Roscoe Bessa,http://lattes.cnpq.br/0039122901216440,"ROSCOE-BESSA, C."
Cynthia Roncaglio,http://lattes.cnpq.br/7471330631188406,"RONCAGLIO, C."
Dais Goncalves Rocha,http://lattes.cnpq.br/4940098844975308,"ROCHA, D. G.;ROCHA, DAIS GONÇALVES;ROCHA, DAIS"
Débora Messenberg Guimarães,http://lattes.cnpq.br/8916758148784815,"GUIMARÃES, DÉBORA MESSENBERG;Messenberg, Débora"
Delvio Sandri,http://lattes.cnpq.br/0720020819590155,"SANDRI, D.;SANDRI, DELVIO"
Donatella Natili,http://lattes.cnpq.br/3038327143459019,"NATILI, Donatella"
Emília Carvalho Leitão Biato,http://lattes.cnpq.br/1776414386448708,"BIATO, E. C. L.;BIATO, EMÍLIA CARVALHO LEITÃO"
Fabio Iglesias,http://lattes.cnpq.br/7272973509202067,"Iglesias, Fabio"
Flávia Cristina Cruz Lamberti Arraes,http://lattes.cnpq.br/3964082551527151,"LAMBERTI, F. C. C.;LAMBERTI ARRAES, F. C. C.;ARRAES, F. C. C. L."
Flavio José Dutra de Moura,http://lattes.cnpq.br/6700323351144786,"MOURA, F. J. D."
Flávio de Barros Vidal,http://lattes.cnpq.br/0453892715674953,"VIDAL, F. B.;DE BARROS VIDAL, FLAVIO;B., Flavio;VIDAL, FLAVIO DE BARROS;de Barros Vidal, Flávio;VIDAL, FLÁVIO DE BARROS;VIDAL, FLÁVIO B.;VIDAL, FLAVIO DE B.;DE VIDAL, FLÁVIO B.;VIDAL, FLAVIO"
Gabriela Neves Delgado,http://lattes.cnpq.br/1551226169981813,"DELGADO, Gabriela Neves"
Henrique Llacer Roig,http://lattes.cnpq.br/7716172007298209,"ROIG, H. L.;Roig, L. H.;Roig, H.;ROIG, HENRIQUE LLACER;ROIG, HENRIQUE;ROIG, HENRIQUE L."
Henryk Siewierski,http://lattes.cnpq.br/6327595433352490,"SIEWIERSKI, H."
Herbert Kimura,http://lattes.cnpq.br/2048706172366367,"KIMURA, H.;Kimura, Herbert"
José Roberto de Souza de Almeida Leite,http://lattes.cnpq.br/7300036595890838,"LEITE, J.R.S.A.;LEITE, J;LEITE, J.R.;Leite, José R. S. A.;R. Leite, J.;LEITE, JOSÈ ROBERTO S. A.;LEITE, JOSÉ ROBERTO S. A.;LEITE, JOSE ROBERTO;LEITE, JOSÉ ROBERTO S.A.;DE S. A. LEITE, JOSÉ ROBERTO;LEITE, JOSÉ ROBERTO SA;S.A.LEITE, JOSE;LEITE, JOSÉ ROBERTO DE SOUZA DE ALMEIDA;LEITE, JOSÉ R.S.A.;DE SOUZA ALMEIDA LEITE, JOSÉ ROBERTO;Jose Roberto Leite;LEITE, JOSÉ ROBERTO SOUZA ALMEIDA;José Roberto de S.A. Leite;LEITE, JOSÉ ROBERTO DE S.A.;Jose Roberto de Sousa de Almeida Leite;DE SOUSA DE ALMEIDA LEITE, JOSÉ ROBERTO;DE ALMEIDA LEITE, JOSE ROBERTO;DE ALMEIDA LEITE, JOSÉ ROBERTO DE SOUZA;DE SOUZA DE A. LEITE, JOSÉ ROBERTO;ROBERTO DE SOUZA DE ALMEIDA LEITE, JOSÉ;DE SOUZA DE ALMEIDA LEITE, JOSÉ ROBERTO"
Josele Regina de Oliveira Abreu Rodrigues,http://lattes.cnpq.br/6577338584031776,"ABREU-RODRIGUES, J.;Abreu-Rodrigues, Josele"
Juliana Betini Fachini Gomes,http://lattes.cnpq.br/1490997339171128,"FACHINI, J. B.;FACHINI, JULIANA B.;FACHINI-GOMES, J. B.;Juliana B. Fachini-Gomes;Gomes JBF;Fachini-Gomes, Juliana B.;Gomes, Juliana Betini Fachini"
Kleber Aparecido da Silva,http://lattes.cnpq.br/5411877784984041,"SILVA, K. A.;SILVA, KLEBER APARECIDO DA;DA SILVA, KLÉBER APARECIDO"
Lisa Minari Hargreaves,http://lattes.cnpq.br/3301600136212475,"HARGREAVES, L. M."
Marco Ianniruberto,http://lattes.cnpq.br/2954445604658831,"IANNIRUBERTO, Marco;Ianniruberto, M."
Maria Luisa Ortíz Alvarez,http://lattes.cnpq.br/0562632464695581,"ALVAREZ, M. L. O.;ALVAREZ, MARIA LUISA ORTIZ"
Maria Regina Fernandes de Oliveira,http://lattes.cnpq.br/9687285743580682,"OLIVEIRA, Maria Regina Fernandes de;de Oliveira, Maria;de Oliveira, Maria Regina F;DE OLIVEIRA, MARIA REGINA FERNANDES;de Oliveira, M.R.F.;DE OLIVEIRA, M. R. F.;Oliveira, Maria Regina;MARIA REGINA F, OLIVEIRA;DE OLIVEIRA, MARIA R F;DE OLIVEIRA, MARIA R. F.;OLIVEIRA, MR"
Martim Francisco Bottaro Marques,http://lattes.cnpq.br/8352652260448205,"BOTTARO, M.;BOTTARO, M;Bottaro, Martim;Martim Bottaro;M Bottaro;Bottaro M;Bottaro Martim;Bottaro MF;Martim Marques;Bottaro, Martim Francisco"
Martino Giorgioni,http://lattes.cnpq.br/0105689257770757,"GIORGIONI, M.;GIORGIONI, MARTINO;MARTINO, GIORGIONI;Expedition 371 Scientists"
