Authors,Year,Link,Affiliations,Authors with affiliations
"Dorea C.C.Y.",1983,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951603167&doi=10.1007%2fBF02572838&partnerID=40&md5=cdfe4a6d737103670024b8af80c63cb7","Departamento de Matemática, Universidade de Brasília, Brasília, 70910, Brazil","Dorea, C.C.Y., Departamento de Matemática, Universidade de Brasília, Brasília, 70910, Brazil"
"East G.A., Da Silva I.A.",1983,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-4243839111&doi=10.1016%2fS0003-2670%2800%2985151-X&partnerID=40&md5=92c9cdbb2cbc36595420927a926fe3c8","Departamento de Química, Universidade de Brasília, 70.9 10- Brasilia, DF, Brazil","East, G.A., Departamento de Química, Universidade de Brasília, 70.9 10- Brasilia, DF, Brazil; Da Silva, I.A., Departamento de Química, Universidade de Brasília, 70.9 10- Brasilia, DF, Brazil"
"Morais P.C., Skeff Neto K.",1983,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-29844457396&doi=10.1016%2fS0277-5387%2800%2981402-3&partnerID=40&md5=66c0ff79b7ff3cf5bea6165b4d3f28f4","Grupo de Física Molecular e Magnetismo, Departamento de Física, Universidade de Brasília, 70 910 Brasília, DF, Brazil","Morais, P.C., Grupo de Física Molecular e Magnetismo, Departamento de Física, Universidade de Brasília, 70 910 Brasília, DF, Brazil; Skeff Neto, K., Grupo de Física Molecular e Magnetismo, Departamento de Física, Universidade de Brasília, 70 910 Brasília, DF, Brazil"
"Sáenz T.W.",1983,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-26844467988&doi=10.1177%2f097172180501000203&partnerID=40&md5=02cde2d3c0770516b1db96ad54ea998a","Centre of Sustainable Development, University of Brasilia, SHIN QL 11 Lago Norte, Brasillia DF CEP 71 515 745, Brazil","Sáenz, T.W., Centre of Sustainable Development, University of Brasilia, SHIN QL 11 Lago Norte, Brasillia DF CEP 71 515 745, Brazil"
"Letelier P.S.",1983,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-24544458902&doi=10.1103%2fPhysRevD.28.2414&partnerID=40&md5=c1e13302960fe3a0e2b4ea0983f50f41","Departamento de Física, Universidade de Brasília, 70.910 Brasília, DF, Brazil","Letelier, P.S., Departamento de Física, Universidade de Brasília, 70.910 Brasília, DF, Brazil"
"PAINE P., SPEGIORIN C.",1983,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021090621&doi=10.1111%2fj.1365-2214.1983.tb00330.x&partnerID=40&md5=7589579e0982079b9c7bc77b3d58614d","Department of General and Community Medicine, University of Brasilia, Brazil","PAINE, P., Department of General and Community Medicine, University of Brasilia, Brazil; SPEGIORIN, C., Department of General and Community Medicine, University of Brasilia, Brazil"
"Dorea J.G., Pereira S.E.",1983,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021079020&doi=10.1093%2fjn%2f113.11.2375&partnerID=40&md5=0e9308221897d9f4eb15519577059896","Nutrition Laboratory, Faculdade de Ciencias da Saude, Universidade de Brasilia, 70910 Brasilia DF, Brazil","Dorea, J.G., Nutrition Laboratory, Faculdade de Ciencias da Saude, Universidade de Brasilia, 70910 Brasilia DF, Brazil; Pereira, S.E., Nutrition Laboratory, Faculdade de Ciencias da Saude, Universidade de Brasilia, 70910 Brasilia DF, Brazil"
"Farret R.L.",1983,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021026964&doi=10.3828%2ftwpr.5.2.j210841863144296&partnerID=40&md5=49ea5bb69701071e01bc1d44bde3db04","Dept. Urban Planning, Univ. of Brasilia, Brazil., Brazil","Farret, R.L., Dept. Urban Planning, Univ. of Brasilia, Brazil., Brazil"
"Ramos A.R.",1983,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020916655&partnerID=40&md5=1672dc00af0d816fa33de3badacb4f9e","Depto Antropologa, Univ de Brasilia, Brazil., Brazil","Ramos, A.R., Depto Antropologa, Univ de Brasilia, Brazil., Brazil"
"Fleischer D.V.",1983,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020870885&partnerID=40&md5=4654c55098c2b4d09793b4f73bf7c226","Dept of Political Sci, Univ of Brasilia, Brazil., Brazil","Fleischer, D.V., Dept of Political Sci, Univ of Brasilia, Brazil., Brazil"
