Authors,Year,Link,Affiliations,Authors with affiliations
"RAMOS A.R.",1978,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981936816&doi=10.1525%2fae.1978.5.4.02a00030&partnerID=40&md5=b7e0cca22c118b201eeb1b9297a0f563","Universidade de Brasilia","RAMOS, A.R., Universidade de Brasilia"
"Ribeiro J.P.",1978,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970693228&doi=10.1177%2f053331647801100304&partnerID=40&md5=296f986acbe1fd51df9ebf37768f9cf4","Departamento de Psicologia, Universidade de Brasilia, 70000. Brasilia, Brazil","Ribeiro, J.P., Departamento de Psicologia, Universidade de Brasilia, 70000. Brasilia, Brazil"
"Hule H.",1978,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920199451&doi=10.1017%2fS1446788700021005&partnerID=40&md5=84314bfb7b534a60696ca21e76c7c9da","Departamento de Matematica, Universidade de Brasilia, Brazil","Hule, H., Departamento de Matematica, Universidade de Brasilia, Brazil"
"Ávila G.S.S., Costa D.G.",1978,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956898033&doi=10.1016%2fS0304-0208%2808%2970856-9&partnerID=40&md5=79ff0031a754af14c0db8322eb35a94d","Departamento de Matemática, Universidade de Brasília Brasília, DE, Brazil","Ávila, G.S.S., Departamento de Matemática, Universidade de Brasília Brasília, DE, Brazil; Costa, D.G., Departamento de Matemática, Universidade de Brasília Brasília, DE, Brazil"
"Ho C.-Y.",1978,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-49349127171&doi=10.1016%2f0021-8693%2878%2990203-X&partnerID=40&md5=b3c1fa578622684fc35376b720a63634","Universidade de Brasilia, Departamento de Matemática, IE 70.000 Brasília, DF, Brazil","Ho, C.-Y., Universidade de Brasilia, Departamento de Matemática, IE 70.000 Brasília, DF, Brazil"
"Kitajima E.W., Costa C.L., Sá C.M.",1978,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-12644284957&doi=10.1016%2f0022-2011%2878%2990117-9&partnerID=40&md5=acc5134d8d56d03addaeedc5e6a8fd42","Departmento de Biologia Celular Instituto, Ciências Biológicas Universidade de Brasília, 70000 Brasília, DF, Brazil; Departmento de Biologia Vegetal Instituto, Ciências Biológicas Universidade de Brasília, 70000 Brasília, DF, Brazil","Kitajima, E.W., Departmento de Biologia Celular Instituto, Ciências Biológicas Universidade de Brasília, 70000 Brasília, DF, Brazil, Departmento de Biologia Vegetal Instituto, Ciências Biológicas Universidade de Brasília, 70000 Brasília, DF, Brazil; Costa, C.L., Departmento de Biologia Celular Instituto, Ciências Biológicas Universidade de Brasília, 70000 Brasília, DF, Brazil, Departmento de Biologia Vegetal Instituto, Ciências Biológicas Universidade de Brasília, 70000 Brasília, DF, Brazil; Sá, C.M., Departmento de Biologia Celular Instituto, Ciências Biológicas Universidade de Brasília, 70000 Brasília, DF, Brazil, Departmento de Biologia Vegetal Instituto, Ciências Biológicas Universidade de Brasília, 70000 Brasília, DF, Brazil"
"Pereira E., Vieira Z.E.G., Saraiva R.A., Vieira E.J.G.",1978,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018250280&partnerID=40&md5=09c5662387f8b347df2e6cbe7787778a","Div. Anestesiol., Unid. Integrada Saude de Sobradinho, Fac. Ci. Saude, Univ. Brasilia, Brazil","Pereira, E., Div. Anestesiol., Unid. Integrada Saude de Sobradinho, Fac. Ci. Saude, Univ. Brasilia, Brazil; Vieira, Z.E.G., Div. Anestesiol., Unid. Integrada Saude de Sobradinho, Fac. Ci. Saude, Univ. Brasilia, Brazil; Saraiva, R.A., Div. Anestesiol., Unid. Integrada Saude de Sobradinho, Fac. Ci. Saude, Univ. Brasilia, Brazil; Vieira, E.J.G., Div. Anestesiol., Unid. Integrada Saude de Sobradinho, Fac. Ci. Saude, Univ. Brasilia, Brazil"
"Felix C.R., Caldas R.D.A., Ceron C.R., Roitman I.",1978,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018249087&doi=10.1080%2f00034983.1978.11719284&partnerID=40&md5=4c22778a6708ef840bc1774a66609578","Departamento de Biologia Celular, Universidade de Brasília, Mahidol University, Brasília, 70.000, Brazil","Felix, C.R., Departamento de Biologia Celular, Universidade de Brasília, Mahidol University, Brasília, 70.000, Brazil; Caldas, R.D.A., Departamento de Biologia Celular, Universidade de Brasília, Mahidol University, Brasília, 70.000, Brazil; Ceron, C.R., Departamento de Biologia Celular, Universidade de Brasília, Mahidol University, Brasília, 70.000, Brazil; Roitman, I., Departamento de Biologia Celular, Universidade de Brasília, Mahidol University, Brasília, 70.000, Brazil"
"Teixeira A.R.L., Teixeira G., Macedo V., Prata A.",1978,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018240839&doi=10.4269%2fajtmh.1978.27.1097&partnerID=40&md5=752ddb6dae17d66bc0c6b17f4d6bc8d6","Fac. Ci. Saude, Univ. Brasilia, Brazil","Teixeira, A.R.L., Fac. Ci. Saude, Univ. Brasilia, Brazil; Teixeira, G., Fac. Ci. Saude, Univ. Brasilia, Brazil; Macedo, V., Fac. Ci. Saude, Univ. Brasilia, Brazil; Prata, A., Fac. Ci. Saude, Univ. Brasilia, Brazil"
"Salomon J.B., Dorea J.G., Garrone Jr. D.",1978,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018234068&partnerID=40&md5=e57eca7c202b72755641f31bc8ff6228","Lab. Nutric., Fac. Ci. Saude, Univ. Brasilia, Brazil","Salomon, J.B., Lab. Nutric., Fac. Ci. Saude, Univ. Brasilia, Brazil; Dorea, J.G., Lab. Nutric., Fac. Ci. Saude, Univ. Brasilia, Brazil; Garrone Jr., D., Lab. Nutric., Fac. Ci. Saude, Univ. Brasilia, Brazil"
