Authors,Year,Link,Affiliations,Authors with affiliations
"Calderon L.A., Teles R.C.L., Leite J.R.S.A., Bloch Jr. C., Astolfi-Filho S., Freitas S.M.",2001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035206128&doi=10.2174%2f0929866013409175&partnerID=40&md5=e634c57ff294fb390b9c9d2b96221d0e","Departamento de Biologia Celular, UnB, Brasília, DF, Brazil; Laboratório de Espectrometria de Massa, CENARGEN-EMBRAPA, Brasília, DF, Brazil; Instituto de Química, Brasília, DF, Brazil; Instituto de Ciências Biológicas, UA, Manaus, AM, Brazil","Calderon, L.A., Departamento de Biologia Celular, UnB, Brasília, DF, Brazil; Teles, R.C.L., Departamento de Biologia Celular, UnB, Brasília, DF, Brazil; Leite, J.R.S.A., Departamento de Biologia Celular, UnB, Brasília, DF, Brazil, Laboratório de Espectrometria de Massa, CENARGEN-EMBRAPA, Brasília, DF, Brazil; Bloch Jr., C., Laboratório de Espectrometria de Massa, CENARGEN-EMBRAPA, Brasília, DF, Brazil, Instituto de Química, Brasília, DF, Brazil; Astolfi-Filho, S., Instituto de Ciências Biológicas, UA, Manaus, AM, Brazil; Freitas, S.M., Departamento de Biologia Celular, UnB, Brasília, DF, Brazil"
"De Berredo-Peixoto G.",2001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035862039&doi=10.1142%2fS0217732301005965&partnerID=40&md5=560989110110740e24112f26b1adab7a","Department of Physics, University of Alberta, 412 Avadh Bhatia Physics Laboratory, Edmonton, Alta. T6G 2J1, Canada; Instituto de Física, Universidade de Brasília, Brasília, DF, 70910-900, Brazil","De Berredo-Peixoto, G., Department of Physics, University of Alberta, 412 Avadh Bhatia Physics Laboratory, Edmonton, Alta. T6G 2J1, Canada, Instituto de Física, Universidade de Brasília, Brasília, DF, 70910-900, Brazil"
"Grellier P., Vendeville S., Joyeau R., Bastos I.M.D., Drobecq H., Frappier F., Teixeira A.R.L., Schrével J., Davioud-Charvet E., Sergheraert C., Santana J.M.",2001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035861671&doi=10.1074%2fjbc.M106017200&partnerID=40&md5=1da2ed57114fb045c64b0d54ee0d8048","Laboratoire de Biologie Parasitaire, Museum National d'Histoire Naturelle, FR CNRS 63, 61 rue Buffon, 75231 Paris Cedex 05, France; Institut de Biologie de Lille, Faculté de Pharmacie, Université de Lille II, 1 rue Calmette, 59024 Lille Cedex, France; Laboratoire de Chimie, Museum National d'Histoire Naturelle, ESA CNRS 8041, 63 rue Buffon, 75231 Paris Cedex 05, France; Lab. Multidisc. Pesq. Doenca Chagas, Departamento de Biologia Celular, Universidade de Brasilia, CP 04536, 70919-970, Brasilia, Brazil","Grellier, P., Laboratoire de Biologie Parasitaire, Museum National d'Histoire Naturelle, FR CNRS 63, 61 rue Buffon, 75231 Paris Cedex 05, France; Vendeville, S., Institut de Biologie de Lille, Faculté de Pharmacie, Université de Lille II, 1 rue Calmette, 59024 Lille Cedex, France; Joyeau, R., Laboratoire de Chimie, Museum National d'Histoire Naturelle, ESA CNRS 8041, 63 rue Buffon, 75231 Paris Cedex 05, France; Bastos, I.M.D., Lab. Multidisc. Pesq. Doenca Chagas, Departamento de Biologia Celular, Universidade de Brasilia, CP 04536, 70919-970, Brasilia, Brazil; Drobecq, H., Institut de Biologie de Lille, Faculté de Pharmacie, Université de Lille II, 1 rue Calmette, 59024 Lille Cedex, France; Frappier, F., Laboratoire de Chimie, Museum National d'Histoire Naturelle, ESA CNRS 8041, 63 rue Buffon, 75231 Paris Cedex 05, France; Teixeira, A.R.L., Lab. Multidisc. Pesq. Doenca Chagas, Departamento de Biologia Celular, Universidade de Brasilia, CP 04536, 70919-970, Brasilia, Brazil; Schrével, J., Laboratoire de Biologie Parasitaire, Museum National d'Histoire Naturelle, FR CNRS 63, 61 rue Buffon, 75231 Paris Cedex 05, France; Davioud-Charvet, E., Institut de Biologie de Lille, Faculté de Pharmacie, Université de Lille II, 1 rue Calmette, 59024 Lille Cedex, France; Sergheraert, C., Institut de Biologie de Lille, Faculté de Pharmacie, Université de Lille II, 1 rue Calmette, 59024 Lille Cedex, France; Santana, J.M., Lab. Multidisc. Pesq. Doenca Chagas, Departamento de Biologia Celular, Universidade de Brasilia, CP 04536, 70919-970, Brasilia, Brazil"
"Verçosa De Magalhães S.T., Jham G.N., Picanço M.C., Magalhães G.",2001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035198304&doi=10.1046%2fj.1461-9555.2001.00116.x&partnerID=40&md5=100420c9ce8e1f8b509a79236623f345","Departamento de Química, LPPN (Laboratório de Pesquisa de Produtos Naturais), Universidade Federal de Viçosa, Vicosa, Minas Gerais 36571-000, Brazil; Departmento de Biologia Animal, Universidade Federal de Viçosa, Vicosa, Minas Gerais 36571-000, Brazil; Departamento de Química, Universidade Federal de Brasília, Brasília, DF, 70.910-970, Brazil","Verçosa De Magalhães, S.T., Departamento de Química, LPPN (Laboratório de Pesquisa de Produtos Naturais), Universidade Federal de Viçosa, Vicosa, Minas Gerais 36571-000, Brazil; Jham, G.N., Departamento de Química, LPPN (Laboratório de Pesquisa de Produtos Naturais), Universidade Federal de Viçosa, Vicosa, Minas Gerais 36571-000, Brazil; Picanço, M.C., Departmento de Biologia Animal, Universidade Federal de Viçosa, Vicosa, Minas Gerais 36571-000, Brazil; Magalhães, G., Departamento de Química, Universidade Federal de Brasília, Brasília, DF, 70.910-970, Brazil"
"Azmy K., Veizer J., Misi A., De Oliveira T.F., Sanches A.L., Dardenne M.A.",2001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035843031&doi=10.1016%2fS0301-9268%2801%2900194-2&partnerID=40&md5=6735c0cb60780bc008fbfe7d55f1d105","Ottawa-Carleton Geoscience Center, University of Ottawa, Ottawa, Ont. K1N 6N5, Canada; Institut Für Geologie, Mineralogie und Geophysik, Ruhr Universität, 44780 Bochum, Germany; Centro De Pesquisa Em Geofisica E Geologia E Curso De Pós-Graduação Em Geologia, Instituto De Geociências/CPGG, Universidade Federal Da Bahia, Salvador, Bahia 40210-340, Brazil; Cia Mineira De Metais, P.O. Box #1, 38780 Vazante MG, Brazil; Instituto De Geociências, Universidade De Brasilia, DF 70910-900, Brazil; Department of Geoscience, University of Nevada, 4505 Maryland Parkway, Las Vegas, NV 89154-4010, United States","Azmy, K., Ottawa-Carleton Geoscience Center, University of Ottawa, Ottawa, Ont. K1N 6N5, Canada, Department of Geoscience, University of Nevada, 4505 Maryland Parkway, Las Vegas, NV 89154-4010, United States; Veizer, J., Ottawa-Carleton Geoscience Center, University of Ottawa, Ottawa, Ont. K1N 6N5, Canada, Institut Für Geologie, Mineralogie und Geophysik, Ruhr Universität, 44780 Bochum, Germany; Misi, A., Centro De Pesquisa Em Geofisica E Geologia E Curso De Pós-Graduação Em Geologia, Instituto De Geociências/CPGG, Universidade Federal Da Bahia, Salvador, Bahia 40210-340, Brazil; De Oliveira, T.F., Cia Mineira De Metais, P.O. Box #1, 38780 Vazante MG, Brazil; Sanches, A.L., Centro De Pesquisa Em Geofisica E Geologia E Curso De Pós-Graduação Em Geologia, Instituto De Geociências/CPGG, Universidade Federal Da Bahia, Salvador, Bahia 40210-340, Brazil; Dardenne, M.A., Instituto De Geociências, Universidade De Brasilia, DF 70910-900, Brazil"
"Maluf J.W., Goya A.",2001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035623975&doi=10.1088%2f0264-9381%2f18%2f23%2f310&partnerID=40&md5=670c7fdd2a83d40aab6f83f56294b2d4","Instituto de Física, Universidade de Brasília, CP 04385, 70.919-970 Brasília, DF, Brazil","Maluf, J.W., Instituto de Física, Universidade de Brasília, CP 04385, 70.919-970 Brasília, DF, Brazil; Goya, A., Instituto de Física, Universidade de Brasília, CP 04385, 70.919-970 Brasília, DF, Brazil"
"De Oliveira S.F., Dos Santos E.B., De Souza Mendonça P.J., Da Cruz Rocha D.C., Dos Santos S.E.B.",2001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035180920&doi=10.1002%2fajhb.1116&partnerID=40&md5=7a0a0981ce3a5893f4e3be79d78cf9ff","Laboratório de Genética, Instituto de Ciências Biológicas, Universidade de Brasília, Brasília, DF, Brazil; Departmento de Genética, Centro de Ciências Biológicas, Universidade Federal do Pará, Belém, PA, Brazil; Instituto Ludwig de Pesguisa Sobre Câncer, São Paulo, SP, Brazil; Laboratório de Genética Humana e Médica, Centro de Ciências Biológicas, Universidade Federal do Pará, Belém, PA, Brazil; Universidade de Brasília, Instituto de Ciências Biológicas, Campus Universitário, Asa Norte, 70910-900, Brasi, DF, Brazil","De Oliveira, S.F., Laboratório de Genética, Instituto de Ciências Biológicas, Universidade de Brasília, Brasília, DF, Brazil, Universidade de Brasília, Instituto de Ciências Biológicas, Campus Universitário, Asa Norte, 70910-900, Brasi, DF, Brazil; Dos Santos, E.B., Departmento de Genética, Centro de Ciências Biológicas, Universidade Federal do Pará, Belém, PA, Brazil; De Souza Mendonça, P.J., Instituto Ludwig de Pesguisa Sobre Câncer, São Paulo, SP, Brazil; Da Cruz Rocha, D.C., Departmento de Genética, Centro de Ciências Biológicas, Universidade Federal do Pará, Belém, PA, Brazil; Dos Santos, S.E.B., Laboratório de Genética Humana e Médica, Centro de Ciências Biológicas, Universidade Federal do Pará, Belém, PA, Brazil"
"Clímaco J.C.T.S., Regan P.E.",2001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035808128&partnerID=40&md5=de4f3a6747be0a5df2eaf3981b7bce30","Department of Civil Engineering, University of Brasilia, Brasilia, Brazil","Clímaco, J.C.T.S., Department of Civil Engineering, University of Brasilia, Brasilia, Brazil; Regan, P.E., Department of Civil Engineering, University of Brasilia, Brasilia, Brazil"
"Abers R.",2001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-52549123550&partnerID=40&md5=f6f7acc0cdac76e63a0d9aefb788edb7","Universidade de Brasília, Campus Universitário Darcy Ribeiro, Parte Edifício FINATEC, Asa Norte, 70910-900 Brasília DF, Brazil","Abers, R., Universidade de Brasília, Campus Universitário Darcy Ribeiro, Parte Edifício FINATEC, Asa Norte, 70910-900 Brasília DF, Brazil"
"Giotto M., Trigueiro S.",2001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-52549113448&partnerID=40&md5=6b886769975a3103b262046b0026814a","Universidade de Brasília, Departamento de Sociologia da UnB, Brazil","Giotto, M., Universidade de Brasília, Departamento de Sociologia da UnB, Brazil; Trigueiro, S., Universidade de Brasília, Departamento de Sociologia da UnB, Brazil"
