Authors,Year,Link,Affiliations,Authors with affiliations
"Maluf J.W.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-4243859107&doi=10.1088%2f0264-9381%2f5%2f5%2f002&partnerID=40&md5=351cb8ba2d1f65c75db7a911a4e8ff54","Dept. of Fisica, Brasilia Univ., Brazil","Maluf, J.W., Dept. of Fisica, Brasilia Univ., Brazil"
"Nunes O.A.C.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-36549104965&doi=10.1063%2f1.340026&partnerID=40&md5=1f71fe7063dd70ac1af33bc2bdf4f64c","Physics Department, University of Brasília, Solid State Physics Laboratory, 70910-Brasília-DF, Brazil","Nunes, O.A.C., Physics Department, University of Brasília, Solid State Physics Laboratory, 70910-Brasília-DF, Brazil"
"Maluf J.W.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-23044504491&doi=10.1088%2f0264-9381%2f5%2f2%2f017&partnerID=40&md5=6da9874ee2f025c43cee284822921853","Dept. de Fisica, Brasilia Univ., Brazil","Maluf, J.W., Dept. de Fisica, Brasilia Univ., Brazil"
"Letelier P.S., Oliveira S.R.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0347164006&doi=10.1088%2f0264-9381%2f5%2f2%2f002&partnerID=40&md5=7982564a04f660cdf3085699275a3feb","Dept. de Fisica, Brasilia Univ., Brazil","Letelier, P.S., Dept. de Fisica, Brasilia Univ., Brazil; Oliveira, S.R., Dept. de Fisica, Brasilia Univ., Brazil"
"Dorea J.G., Paine P.A.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024247454&partnerID=40&md5=16b286e1385d42adb6545a5fd77fbb9a","Nutrition Laboratory, Faculty of Health Sciences, Universidade de Brasilia, Brasilia, Brazil","Dorea, J.G., Nutrition Laboratory, Faculty of Health Sciences, Universidade de Brasilia, Brasilia, Brazil; Paine, P.A., Nutrition Laboratory, Faculty of Health Sciences, Universidade de Brasilia, Brasilia, Brazil"
"East G.A., Rath S.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024226890&doi=10.1080%2f00032718808059909&partnerID=40&md5=fad5bae5df9ec4ec44d8290c7a9fbdb0","Departamento de Química, Universidade de Brasília, 70.910 Brasília D.F., Brazil","East, G.A., Departamento de Química, Universidade de Brasília, 70.910 Brasília D.F., Brazil; Rath, S., Departamento de Química, Universidade de Brasília, 70.910 Brasília D.F., Brazil"
"Bermudez L.A., Guillon P., Obregon J., Bert A.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024138725&partnerID=40&md5=83304c89ccf356f669f0e86d22fa0d02","Univ de Brasilia, Braz","Bermudez, L.A., Univ de Brasilia, Braz; Guillon, P., Univ de Brasilia, Braz; Obregon, J., Univ de Brasilia, Braz; Bert, A., Univ de Brasilia, Braz"
"Barroso de Assis Fonseca Sergio, Soares Antonio Jose Martins, Giarola Attilio Jose",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024137436&partnerID=40&md5=e9cc250bd754e6e85adfcb752020890e","Univ of Brasilia, Braz","Barroso de Assis Fonseca, Sergio, Univ of Brasilia, Braz; Soares, Antonio Jose Martins, Univ of Brasilia, Braz; Giarola, Attilio Jose, Univ of Brasilia, Braz"
"Malvar Henrique S.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024124018&partnerID=40&md5=c39fc1860ba10bd3465270cbfc56572f","Univ of Brasilia, Braz","Malvar, Henrique S., Univ of Brasilia, Braz"
"Costa D.G., Oliveira A.S.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-51249171410&doi=10.1007%2fBF02584819&partnerID=40&md5=58b8673199cec4b71ca206033952bb1e","Departamento de Matemática, Universidade de Brasîlia, Brasîlia, 70.910, DF, Brazil; Departamento de Matemática-CCEN, Universidade Federal da Paraîba, João Pessoa, 58.059, PB, Brazil","Costa, D.G., Departamento de Matemática, Universidade de Brasîlia, Brasîlia, 70.910, DF, Brazil, Departamento de Matemática-CCEN, Universidade Federal da Paraîba, João Pessoa, 58.059, PB, Brazil; Oliveira, A.S., Departamento de Matemática, Universidade de Brasîlia, Brasîlia, 70.910, DF, Brazil, Departamento de Matemática-CCEN, Universidade Federal da Paraîba, João Pessoa, 58.059, PB, Brazil"
"De Figueiredo D.G., Gossez J.-P.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000069825&doi=10.1007%2fBF01456841&partnerID=40&md5=bd6aaeed0d87584943cb820127f5a3b5","Departamento de Matematica, Universidade de Brasilia, Brasilia, 70910, D.F., Brazil; Département de Mathématique, C.P.214, Université Libre de Bruxelles, Bd. du Triomphe, Campus Plaine, Bruxelles, B-1050, Belgium","De Figueiredo, D.G., Departamento de Matematica, Universidade de Brasilia, Brasilia, 70910, D.F., Brazil; Gossez, J.-P., Département de Mathématique, C.P.214, Université Libre de Bruxelles, Bd. du Triomphe, Campus Plaine, Bruxelles, B-1050, Belgium"
"Fournelle T., Sidki S., Weston K.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250088712&doi=10.1007%2fBF01198626&partnerID=40&md5=0f4a7bcc746c7693fb8c2f081cccae8d","Mathematics Department, University of Wisconsin-Parkside, Kenosha, 53141, Wisconsin, United States; Departamento de Matemática, Universidade de Brasília, Brasília DF, 70910, Brazil","Fournelle, T., Mathematics Department, University of Wisconsin-Parkside, Kenosha, 53141, Wisconsin, United States; Sidki, S., Departamento de Matemática, Universidade de Brasília, Brasília DF, 70910, Brazil; Weston, K., Mathematics Department, University of Wisconsin-Parkside, Kenosha, 53141, Wisconsin, United States"
"Campiglia A.D., de Lima C.G.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845278809&doi=10.1021%2fac00170a039&partnerID=40&md5=f6d32555286063269cba27ea6402e482","Departamento de Química, Universidade de Brasilia, Brasilia, DF 70910, Brazil; Department of Chemistry University of Florida, Gainesville, FL 32611, United States","Campiglia, A.D., Departamento de Química, Universidade de Brasilia, Brasilia, DF 70910, Brazil, Department of Chemistry University of Florida, Gainesville, FL 32611, United States; de Lima, C.G., Departamento de Química, Universidade de Brasilia, Brasilia, DF 70910, Brazil"
"Neto J.J.S., Vianna J.D.M.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-36149029628&doi=10.1088%2f0305-4470%2f21%2f11%2f010&partnerID=40&md5=3f50a190fb2f8d132a0bd7814654cd6e","Departamento de Física, Instituto de Ciências Exatas, Universidade de Brasília, Brasília DF, 70910, Brazil","Neto, J.J.S., Departamento de Física, Instituto de Ciências Exatas, Universidade de Brasília, Brasília DF, 70910, Brazil; Vianna, J.D.M., Departamento de Física, Instituto de Ciências Exatas, Universidade de Brasília, Brasília DF, 70910, Brazil"
"Paine P., Wright M.D.G.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970462669&doi=10.1177%2f016327878801100307&partnerID=40&md5=ee240bcdda05545b889406fc0be2c5fa","Faculty of Health Services, University of Brasilia, Brazil","Paine, P., Faculty of Health Services, University of Brasilia, Brazil; Wright, M.D.G., Faculty of Health Services, University of Brasilia, Brazil"
"Gonçalves J.V.A.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-45549120290&doi=10.1016%2f0362-546X%2888%2990078-8&partnerID=40&md5=f030a892c356fe20a8ba1cbc9646733f","Departamento de Matemática-IE, Universidade de Brasília, 70910 Brasília, DF, Brazil","Gonçalves, J.V.A., Departamento de Matemática-IE, Universidade de Brasília, 70910 Brasília, DF, Brazil"
"Holvorcem P.R.C., Osório R.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-45549119380&doi=10.1016%2f0378-4371%2888%2990198-7&partnerID=40&md5=64a5e3a6c280fd1f7cedf6ad204cb551","Departamento de Física, Universidade de Brasília, 70910 Brasília, DF, Brazil","Holvorcem, P.R.C., Departamento de Física, Universidade de Brasília, 70910 Brasília, DF, Brazil; Osório, R., Departamento de Física, Universidade de Brasília, 70910 Brasília, DF, Brazil"
"Dardenne M.A., Ferreira Filho C.F., Meirelles M.R.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-38249032534&doi=10.1016%2f0895-9811%2888%2990023-5&partnerID=40&md5=b9d0dc736c873aba8d92767ef7a0fd8c","Departamento de Geociências, University of Brasília, Brasília, DF 70.910, Brazil","Dardenne, M.A., Departamento de Geociências, University of Brasília, Brasília, DF 70.910, Brazil; Ferreira Filho, C.F., Departamento de Geociências, University of Brasília, Brasília, DF 70.910, Brazil; Meirelles, M.R., Departamento de Geociências, University of Brasília, Brasília, DF 70.910, Brazil"
"Bucher R.E., Totugui M.L.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-18244422933&partnerID=40&md5=1f61799d2e60ccecb4a2a123a113adb4","Depto. de Psicologia, Universidade de Brasilia, Brasil., Brazil","Bucher, R.E., Depto. de Psicologia, Universidade de Brasilia, Brasil., Brazil; Totugui, M.L., Depto. de Psicologia, Universidade de Brasilia, Brasil., Brazil"
"Henriques F.G., Trinta D.A.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-18244413939&partnerID=40&md5=fb7dda31074104320d7db48cf3feac85","Departamento de Medicina Especializada, Faculdade de Ciências da Saúde, Universidade de Brasilia, Brasil, Brazil","Henriques, F.G., Departamento de Medicina Especializada, Faculdade de Ciências da Saúde, Universidade de Brasilia, Brasil, Brazil; Trinta, D.A., Departamento de Medicina Especializada, Faculdade de Ciências da Saúde, Universidade de Brasilia, Brasil, Brazil"
"Fonseca A.L.A., Nunes O.A.C., Araga F.R.F.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542589303&doi=10.1103%2fPhysRevA.38.4732&partnerID=40&md5=812bb5e7167b869bf790e4a4551d8b95","Physics Department, University of Brasília, Brasília, 70 910, DF, Brazil","Fonseca, A.L.A., Physics Department, University of Brasília, Brasília, 70 910, DF, Brazil; Nunes, O.A.C., Physics Department, University of Brasília, Brasília, 70 910, DF, Brazil; Araga, F.R.F., Physics Department, University of Brasília, Brasília, 70 910, DF, Brazil"
"De Figueiredo D.G.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-12144264517&doi=10.1216%2fRMJ-1988-18-2-287&partnerID=40&md5=009dfc6c2a73861a85aad4625de13da7","Departamento De Matemática, Universidade De Brasilia, Brasili, 70910, Brazil","De Figueiredo, D.G., Departamento De Matemática, Universidade De Brasilia, Brasili, 70910, Brazil"
"Bucher R.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024267539&partnerID=40&md5=598d77ea1a9dca9ebff10f05e5654c18","Institut de Psychologie, Universite de Brasilia, Brasilia, Brazil","Bucher, R., Institut de Psychologie, Universite de Brasilia, Brasilia, Brazil"
"Ventura M.M.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024262202&partnerID=40&md5=454d65f4db34a523fa92d9f1b7ab5138","Departamento de Biologia Celular, Universidade de Brasília, DF., Brazil","Ventura, M.M., Departamento de Biologia Celular, Universidade de Brasília, DF., Brazil"
"Ventura M.M.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024261392&partnerID=40&md5=16c7715523e2486da3ff9ac713615e35","Departamento de Biologia Celular, Universidade de Brasília, DF., Brazil","Ventura, M.M., Departamento de Biologia Celular, Universidade de Brasília, DF., Brazil"
"Ventura M.M.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024249338&partnerID=40&md5=84108ddead054aa3c2892ce7a7b2f667","Departamento de Biologia Celular, Universidade de Brasília, DF., Brazil","Ventura, M.M., Departamento de Biologia Celular, Universidade de Brasília, DF., Brazil"
"Haridasan M., De Araújo G.M.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024220882&doi=10.1016%2f0378-1127%2888%2990021-7&partnerID=40&md5=fef213f336a21f1a35ea386c2597011d","Laboratório de Ecologia, Departamento de Biologia Vegetal, Universidade de Brasilia, Caixa Postal 153081, Brasilia, DF 70919, Brazil","Haridasan, M., Laboratório de Ecologia, Departamento de Biologia Vegetal, Universidade de Brasilia, Caixa Postal 153081, Brasilia, DF 70919, Brazil; De Araújo, G.M., Laboratório de Ecologia, Departamento de Biologia Vegetal, Universidade de Brasilia, Caixa Postal 153081, Brasilia, DF 70919, Brazil"
"Hessel M.H.R.",1988,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024197958&partnerID=40&md5=906f05b7d7ccfb9fcb70fbb10d3bedc5","Dept de Geociencias, Univ de Brasilia, CP 152775, 70919 Brasilia, DF, Brazil, Brazil","Hessel, M.H.R., Dept de Geociencias, Univ de Brasilia, CP 152775, 70919 Brasilia, DF, Brazil, Brazil"
