Authors,Year,Link,Affiliations,Authors with affiliations
"Delahaye E., Escax V., El Hassan N., Davidson A., Aquino R., Dupuis V., Perzynski R., Raikher Y.L.",2006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846344662&doi=10.1021%2fjp0647075&partnerID=40&md5=12c2b496b8ec7d5b043135f19eaf127a","University Pierre et Marie Curie, Laboratoire de Réactivité de Surface, UMR-CNRS 7609, case 178, 4 place Jussieu, 75252, Paris, France; University Pierre et Marie Curie, Laboratoire des Liquides Ioniques et Interfaces Chargés, UMR-CNRS 7612, case 63, 4 place Jussieu, 75252, Paris, France; Institute of Continuous Media Mechanics, Ural Branch of RAS, 1 Korolyov Street, Perm, 614013, Russian Federation; Complex Fluid Group, Instituto de Fisica, Universidade de Brasilia, Caixa Postal 04455, 70919-970, Brasilia DF, Brazil","Delahaye, E., University Pierre et Marie Curie, Laboratoire de Réactivité de Surface, UMR-CNRS 7609, case 178, 4 place Jussieu, 75252, Paris, France; Escax, V., University Pierre et Marie Curie, Laboratoire de Réactivité de Surface, UMR-CNRS 7609, case 178, 4 place Jussieu, 75252, Paris, France; El Hassan, N., University Pierre et Marie Curie, Laboratoire de Réactivité de Surface, UMR-CNRS 7609, case 178, 4 place Jussieu, 75252, Paris, France; Davidson, A., University Pierre et Marie Curie, Laboratoire de Réactivité de Surface, UMR-CNRS 7609, case 178, 4 place Jussieu, 75252, Paris, France; Aquino, R., University Pierre et Marie Curie, Laboratoire des Liquides Ioniques et Interfaces Chargés, UMR-CNRS 7612, case 63, 4 place Jussieu, 75252, Paris, France, Complex Fluid Group, Instituto de Fisica, Universidade de Brasilia, Caixa Postal 04455, 70919-970, Brasilia DF, Brazil; Dupuis, V., University Pierre et Marie Curie, Laboratoire des Liquides Ioniques et Interfaces Chargés, UMR-CNRS 7612, case 63, 4 place Jussieu, 75252, Paris, France; Perzynski, R., University Pierre et Marie Curie, Laboratoire des Liquides Ioniques et Interfaces Chargés, UMR-CNRS 7612, case 63, 4 place Jussieu, 75252, Paris, France; Raikher, Y.L., Institute of Continuous Media Mechanics, Ural Branch of RAS, 1 Korolyov Street, Perm, 614013, Russian Federation"
"Dias L.T., De Albuquerque L.G., Tonhati H., Teixeira R.D.A.",2006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845681245&doi=10.1590%2fS1516-35982006000700006&partnerID=40&md5=cabca2a56febfc58137d08c6d2e9eb6f","Universidade Estadual de Londrina, Brazil; Departamento de Zootecnia, UNESP/Jaboticabal, Brazil; Universidade de Brasília, Brazil","Dias, L.T., Universidade Estadual de Londrina, Brazil; De Albuquerque, L.G., Departamento de Zootecnia, UNESP/Jaboticabal, Brazil; Tonhati, H., Departamento de Zootecnia, UNESP/Jaboticabal, Brazil; Teixeira, R.D.A., Universidade de Brasília, Brazil"
"Silva I.S., Packer I.U., Da Silva L.O.C., Torres Jr. R.A.D.A., De Melo C.M.R.",2006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845622533&doi=10.1590%2fS1516-35982006000700009&partnerID=40&md5=8fbfcf13a973d4a91a731fa309dafc7f","Faculdade de Agronomia e Medicina Veterinária, Universidade de Brasília - UnB, Brasília/DF, Brazil; CAPES, Brazil; Depto. Zootecnia, ESALQ/USP, Piracicaba/SP, Brazil; CNPq, Brazil; Embrapa Gado de Corte, Campo Grande/MS, Brazil; Universidade Federal de Santa Catarina - UFSC, Florianópolis/SC, Brazil","Silva, I.S., Faculdade de Agronomia e Medicina Veterinária, Universidade de Brasília - UnB, Brasília/DF, Brazil, CAPES, Brazil; Packer, I.U., Depto. Zootecnia, ESALQ/USP, Piracicaba/SP, Brazil, CNPq, Brazil; Da Silva, L.O.C., Embrapa Gado de Corte, Campo Grande/MS, Brazil; Torres Jr., R.A.D.A., Embrapa Gado de Corte, Campo Grande/MS, Brazil; De Melo, C.M.R., Universidade Federal de Santa Catarina - UFSC, Florianópolis/SC, Brazil"
"Alcalde V.H.C., Fernandes A.A., Soares Jr. L.R.",2006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845596251&doi=10.1109%2fVSS.2006.1644500&partnerID=40&md5=f4b82e33fa722d231fbb5806472ae36c","Electricla Engineering Department, University of Brasilia, 70910-900 Brasilia, DF, Brazil; Brazilian Northern Region, 70718-900 Brasilia, DF, Brazil","Alcalde, V.H.C., Electricla Engineering Department, University of Brasilia, 70910-900 Brasilia, DF, Brazil; Fernandes, A.A., Brazilian Northern Region, 70718-900 Brasilia, DF, Brazil; Soares Jr., L.R., Electricla Engineering Department, University of Brasilia, 70910-900 Brasilia, DF, Brazil"
"Rabelo B., Hofmann W., Pinheiro L.",2006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845585306&doi=10.1109%2fSPEEDAM.2006.1649953&partnerID=40&md5=9cccba84ebb0c1a823d5b053da6f743a","Chemnitz University of Technology, Reichenhainerstr. 70, 09126 Chemnitz, Germany; Universidade de Brasília, Brasília-D.F., Brazil","Rabelo, B., Chemnitz University of Technology, Reichenhainerstr. 70, 09126 Chemnitz, Germany; Hofmann, W., Chemnitz University of Technology, Reichenhainerstr. 70, 09126 Chemnitz, Germany; Pinheiro, L., Universidade de Brasília, Brasília-D.F., Brazil"
"Cordão Neto M.P., Farias M.M.",2006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845535539&doi=10.1061%2f40802%28189%29198&partnerID=40&md5=030240a3ca7961fe06cc6aa4b16ac23a","Department of Civil and Environmental Engineering, Faculty of Technology, University of Brasilia, Brasilia-DF, CEP. 70.910-900, Brazil","Cordão Neto, M.P., Department of Civil and Environmental Engineering, Faculty of Technology, University of Brasilia, Brasilia-DF, CEP. 70.910-900, Brazil; Farias, M.M., Department of Civil and Environmental Engineering, Faculty of Technology, University of Brasilia, Brasilia-DF, CEP. 70.910-900, Brazil"
"Cochonneau G., Sondag F., Guyot J.-L., Geraldo B., Filizola N., Fraizy P., Laraque A., Magat P., Martinez J.-M., Noriega L., Oliveira E., Ordonez J., Pombosa R., Seyler F., Sidgwick J., Vauchel P.",2006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845518675&partnerID=40&md5=55c304c6af6a2c09866589124acb428c","IRD, LMTG, 14 Av. Edouard Belin, F-31400 Toulouse, France; IRD, LMTG, Casilla 18 1209, Lima 18, Peru; UnB, LAGEQ, Campus Darcy Ribeiro, Asa Norte, CEP 70919-970 Brasília, DF, Brazil; UFAM, 3000/Bl. T, 69077000 Manaus, AM, Brazil; IRD, OBHI Martinique, BP 8006, F-97259 Fort de France cedex, France; IRD, LMTG, AP 17 12 857, Quito, Ecuador; SENAMHI, Calle Reyes Ortiz no. 41 2do Piso, La Paz, Bolivia; ANA Setor Policial, Área 5, Quadra 3 Bloco L, CEP 70610-200 Brasília, DF, Brazil; SENAMHI, Jr. Cahuide 805, Lima 11, Peru; INAMHI, Iñaquito N36-14y Corea, Quito, Ecuador; IRD, LMTG, CP 9214, 00095 La Paz, Bolivia","Cochonneau, G., IRD, LMTG, 14 Av. Edouard Belin, F-31400 Toulouse, France; Sondag, F., IRD, LMTG, 14 Av. Edouard Belin, F-31400 Toulouse, France; Guyot, J.-L., IRD, LMTG, Casilla 18 1209, Lima 18, Peru; Geraldo, B., UnB, LAGEQ, Campus Darcy Ribeiro, Asa Norte, CEP 70919-970 Brasília, DF, Brazil; Filizola, N., UFAM, 3000/Bl. T, 69077000 Manaus, AM, Brazil; Fraizy, P., IRD, LMTG, Casilla 18 1209, Lima 18, Peru; Laraque, A., IRD, OBHI Martinique, BP 8006, F-97259 Fort de France cedex, France; Magat, P., IRD, LMTG, AP 17 12 857, Quito, Ecuador; Martinez, J.-M., IRD, LMTG, 14 Av. Edouard Belin, F-31400 Toulouse, France; Noriega, L., SENAMHI, Calle Reyes Ortiz no. 41 2do Piso, La Paz, Bolivia; Oliveira, E., ANA Setor Policial, Área 5, Quadra 3 Bloco L, CEP 70610-200 Brasília, DF, Brazil; Ordonez, J., SENAMHI, Jr. Cahuide 805, Lima 11, Peru; Pombosa, R., INAMHI, Iñaquito N36-14y Corea, Quito, Ecuador; Seyler, F., IRD, LMTG, 14 Av. Edouard Belin, F-31400 Toulouse, France; Sidgwick, J., IRD, LMTG, 14 Av. Edouard Belin, F-31400 Toulouse, France; Vauchel, P., IRD, LMTG, CP 9214, 00095 La Paz, Bolivia"
"Smeesters P.R., Vergison A., Campos D., de Aguiar E., Deyi V.Y.M., Van Melderen L.",2006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-43149122159&doi=10.1371%2fjournal.pone.0000010&partnerID=40&md5=523a773d83fb64d75756631140f1a768","Infectious Diseases Department, Hôpital Universitaire des Enfants Reine Fabiola, Université Libre de Bruxelles, Brussels, Belgium; Laboratoire de Génétique des Procaryotes, Institut de Biologie et de Médecine Moléculaires, Université Libre de Bruxelles, Brussels, Belgium; Pediatric Department, Hospital Universitário de Brasília, Universidade de Brasília, Brasília, Brazil; Epidemiology and Infection Control Unit, Hôpital Universitaire des Enfants Reine Fabiola, Université Libre de Bruxelles, Brussels, Belgium; Microbiology Department, Hospital Regional da Asa Sul, Brasília, Brazil; Microbiology Department, Centre Hospitalier Universitaire Brugmann, Université Libre de Bruxelles, Brussels, Belgium","Smeesters, P.R., Infectious Diseases Department, Hôpital Universitaire des Enfants Reine Fabiola, Université Libre de Bruxelles, Brussels, Belgium, Laboratoire de Génétique des Procaryotes, Institut de Biologie et de Médecine Moléculaires, Université Libre de Bruxelles, Brussels, Belgium, Pediatric Department, Hospital Universitário de Brasília, Universidade de Brasília, Brasília, Brazil; Vergison, A., Infectious Diseases Department, Hôpital Universitaire des Enfants Reine Fabiola, Université Libre de Bruxelles, Brussels, Belgium, Epidemiology and Infection Control Unit, Hôpital Universitaire des Enfants Reine Fabiola, Université Libre de Bruxelles, Brussels, Belgium; Campos, D., Pediatric Department, Hospital Universitário de Brasília, Universidade de Brasília, Brasília, Brazil; de Aguiar, E., Microbiology Department, Hospital Regional da Asa Sul, Brasília, Brazil; Deyi, V.Y.M., Microbiology Department, Centre Hospitalier Universitaire Brugmann, Université Libre de Bruxelles, Brussels, Belgium; Van Melderen, L., Laboratoire de Génétique des Procaryotes, Institut de Biologie et de Médecine Moléculaires, Université Libre de Bruxelles, Brussels, Belgium"
"Nassar N.M.A.",2006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845420339&partnerID=40&md5=0dbaa462a51af9d40937ca92ef50634b","Departamento de Genética e Morfologia, Universidade de Brasília, Brasília, DF, Brazil","Nassar, N.M.A., Departamento de Genética e Morfologia, Universidade de Brasília, Brasília, DF, Brazil"
"Cunha R.P., Medeiros A.G.B., Silva C.M.",2006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845467294&doi=10.1061%2f40867%28199%2952&partnerID=40&md5=69cfd32b769ea2b646a80c2b72597472","Geotechnical Grad Program, Department of Civil and Environmental Engineering, University of Brasilia, Brasilia-DF, Cep. 70910-900, Brazil; Geotechnical Grad Program, Department of Civil and Environmental Engineering, University of Brasilia, Brazil; Embre Engineering Ltd., Bloco A Sala 220, Brasilia-DF, Cep. 71200-010, Brazil","Cunha, R.P., Geotechnical Grad Program, Department of Civil and Environmental Engineering, University of Brasilia, Brasilia-DF, Cep. 70910-900, Brazil; Medeiros, A.G.B., Geotechnical Grad Program, Department of Civil and Environmental Engineering, University of Brasilia, Brazil; Silva, C.M., Embre Engineering Ltd., Bloco A Sala 220, Brasilia-DF, Cep. 71200-010, Brazil"
