Authors,Year,Link,Affiliations,Authors with affiliations
"Muñoz D.M., Llanos C.H., Dos S. Coelho L., Ayala-Rincón M.",2010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650587076&doi=10.1109%2fBICTA.2010.5645270&partnerID=40&md5=6a0c4f4a35492e5523b07fca5ca92912","Department of Mechanical Engineering, Automation and Control Group/GRACG, University of Brasilia, Brasilia, D.F., Brazil; Industrial and Systems Engineering, Graduate Program, Pontifical Catholic University of Parana, Curitiba, Parana, Brazil; Department of Computer Science and Mathematics, University of Brasilia, Brasilia, D.F., Brazil","Muñoz, D.M., Department of Mechanical Engineering, Automation and Control Group/GRACG, University of Brasilia, Brasilia, D.F., Brazil; Llanos, C.H., Department of Mechanical Engineering, Automation and Control Group/GRACG, University of Brasilia, Brasilia, D.F., Brazil; Dos S. Coelho, L., Industrial and Systems Engineering, Graduate Program, Pontifical Catholic University of Parana, Curitiba, Parana, Brazil; Ayala-Rincón, M., Department of Computer Science and Mathematics, University of Brasilia, Brasilia, D.F., Brazil"
"Braga A.L.S., Llanos C.H., Göhringer D., Obie J., Becker J., Hübner M.",2010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650600879&doi=10.1109%2fBICTA.2010.5645259&partnerID=40&md5=ec6dad29a1f51de63f2c0487dd0bea1d","Department of Mechanical Engineering, University of Brasilia - UnB, Brasilia, Brazil; Fraunhofer IOSB, Ettlingen, Germany; Institut für Technik der Informationsverarbeitung - ITIV, Karlsruhe, Germany","Braga, A.L.S., Department of Mechanical Engineering, University of Brasilia - UnB, Brasilia, Brazil; Llanos, C.H., Department of Mechanical Engineering, University of Brasilia - UnB, Brasilia, Brazil; Göhringer, D., Fraunhofer IOSB, Ettlingen, Germany; Obie, J., Fraunhofer IOSB, Ettlingen, Germany; Becker, J., Institut für Technik der Informationsverarbeitung - ITIV, Karlsruhe, Germany; Hübner, M., Fraunhofer IOSB, Ettlingen, Germany"
"Ferreira Filho A.D.L., Angarita J.A.C., De Oliveira Nascimento F.A., Valadares T.C., De Oliveira J.P.J.",2010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650557267&doi=10.1109%2fICHQP.2010.5625316&partnerID=40&md5=a11b6254191b1da830f885408445ea9e","University of Brasília, Brazil","Ferreira Filho, A.D.L.; Angarita, J.A.C., University of Brasília, Brazil; De Oliveira Nascimento, F.A., University of Brasília, Brazil; Valadares, T.C.; De Oliveira, J.P.J., University of Brasília, Brazil"
"Ferreira Filho A.D.L., Angarita J.A.C., Garcia D.C., Costa M.V.C., De Oliveira M., De Oliveira Nascimento F.A.",2010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650549488&doi=10.1109%2fICHQP.2010.5625315&partnerID=40&md5=fcbec7000507ba0d9063a373890ac14e","University of Brasília, Brazil","Ferreira Filho, A.D.L.; Angarita, J.A.C., University of Brasília, Brazil; Garcia, D.C.; Costa, M.V.C.; De Oliveira, M.; De Oliveira Nascimento, F.A., University of Brasília, Brazil"
"Amaya E.J., Alvares A.J.",2010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650536345&doi=10.1109%2fETFA.2010.5641302&partnerID=40&md5=5f53b2b05d9937c2ffb365ea21af6a20","Department of Mechanical Engineering and Mechatronics, University of Brasilia, Campus Universitario Darcy Ribeiro, CEP 70910-900, Brasilia, DF, Brazil","Amaya, E.J., Department of Mechanical Engineering and Mechatronics, University of Brasilia, Campus Universitario Darcy Ribeiro, CEP 70910-900, Brasilia, DF, Brazil; Alvares, A.J., Department of Mechanical Engineering and Mechatronics, University of Brasilia, Campus Universitario Darcy Ribeiro, CEP 70910-900, Brasilia, DF, Brazil"
"De Arruda Jr. A.C., Leite A.F., De Almeida C.R.F., Crespo A.M.F., Weigang L.",2010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650423923&doi=10.1109%2fITSC.2010.5624988&partnerID=40&md5=b6eead8b446c9b6f2347ac77c9e579bf","Bank of Brazil, TI/BB, Brasilia, DF CEP: 70770-100, Brazil; University of Brasilia, C.P. 4466, Brasilia, DF CEP: 70910-900, Brazil; University of Brasilia, CIC, C.P. 4466, Brasilia, DF CEP: 70910-900, Brazil; First Integrated Center of Air Defense and Airspace Control, CINDACTA I, Air Force, Brasilia, DF CEP: 71615-600, Brazil; University of Brasilia, Translab, C.P. 4466, Brasilia, DF CEP: 70910-900, Brazil","De Arruda Jr., A.C., Bank of Brazil, TI/BB, Brasilia, DF CEP: 70770-100, Brazil; Leite, A.F., University of Brasilia, C.P. 4466, Brasilia, DF CEP: 70910-900, Brazil; De Almeida, C.R.F., University of Brasilia, CIC, C.P. 4466, Brasilia, DF CEP: 70910-900, Brazil; Crespo, A.M.F., First Integrated Center of Air Defense and Airspace Control, CINDACTA I, Air Force, Brasilia, DF CEP: 71615-600, Brazil; Weigang, L., University of Brasilia, Translab, C.P. 4466, Brasilia, DF CEP: 70910-900, Brazil"
"Motta J.M.S.T., Llanos C.H., Carvalho G.C., Alfaro S.C.A.",2010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650395515&doi=10.1109%2fCARPI.2010.5624449&partnerID=40&md5=891bb375957aab1653c11de38dfbaaa4","University of Brasilia, Brasilia-DF, 70910-900, Brazil","Motta, J.M.S.T., University of Brasilia, Brasilia-DF, 70910-900, Brazil; Llanos, C.H., University of Brasilia, Brasilia-DF, 70910-900, Brazil; Carvalho, G.C., University of Brasilia, Brasilia-DF, 70910-900, Brazil; Alfaro, S.C.A., University of Brasilia, Brasilia-DF, 70910-900, Brazil"
"Reis C.A.",2010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650385783&partnerID=40&md5=707e242b7a51dfc655d4a58b3bb7da45","Departamento de Filosofia, Universidade de Brasília (UNB)","Reis, C.A., Departamento de Filosofia, Universidade de Brasília (UNB)"
"Rufinoni P.R.",2010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650333731&partnerID=40&md5=134a366f8ba2cfb704257b727443a0d7","Universidade de Brasília","Rufinoni, P.R., Universidade de Brasília"
"Costa I., Custódio M., Coutinho V., Liberali R.",2010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650245905&partnerID=40&md5=8397cd2aaa144408e66bb13d5aa5b0da","Universidade de Brasília, Brasília-DF, Brazil; Universidade Gama Filho, Brasília-DF, Brazil; UFSC, Brazil; Programa de Pos Graduacao Lato Sensu em Nutricao Clinica - Fundamentos Metabolicos, Universidade Gama Filho, Brasília-DF, Brazil","Costa, I., Universidade de Brasília, Brasília-DF, Brazil, Universidade Gama Filho, Brasília-DF, Brazil; Custódio, M., Universidade de Brasília, Brasília-DF, Brazil, Universidade Gama Filho, Brasília-DF, Brazil; Coutinho, V., Universidade Gama Filho, Brasília-DF, Brazil; Liberali, R., UFSC, Brazil, Programa de Pos Graduacao Lato Sensu em Nutricao Clinica - Fundamentos Metabolicos, Universidade Gama Filho, Brasília-DF, Brazil"
