Authors,Year,Link,Affiliations,Authors with affiliations
"Defossez D.",2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071120683&doi=10.1093%2fulr%2funw003&partnerID=40&md5=55ab1420c6d1ce1da49f653f9265fffc","Universidade de Brasilia (UnB), Brazil","Defossez, D., Universidade de Brasilia (UnB), Brazil"
"Avelar L.",2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070616820&doi=10.4324%2f9781315292892-12&partnerID=40&md5=b757d048bcaf39a80221a3da89c77976","Department of Political Science, University of Brasilia, Brazil","Avelar, L., Department of Political Science, University of Brasilia, Brazil"
"Nascimento M., Bauer E., Souza J., Zanoni V.",2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054155914&partnerID=40&md5=1d4a45ccdd04d53282b49956045dda02","Departamento de Engenharia Civil e Ambiental, Faculdade de Tecnologia, Universidade de Brasília, Brazil","Nascimento, M., Departamento de Engenharia Civil e Ambiental, Faculdade de Tecnologia, Universidade de Brasília, Brazil; Bauer, E., Departamento de Engenharia Civil e Ambiental, Faculdade de Tecnologia, Universidade de Brasília, Brazil; Souza, J., Departamento de Engenharia Civil e Ambiental, Faculdade de Tecnologia, Universidade de Brasília, Brazil; Zanoni, V., Departamento de Engenharia Civil e Ambiental, Faculdade de Tecnologia, Universidade de Brasília, Brazil"
"Del Menezzi C.H.S.",2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051886115&partnerID=40&md5=dfdfa6566feb3227b66ad1c2b2570bd2","Dept. Forest Engineering, Faculty of Technology, University of Brasília, POBox 04357, Brasília, 70904-970, Brazil","Del Menezzi, C.H.S., Dept. Forest Engineering, Faculty of Technology, University of Brasília, POBox 04357, Brasília, 70904-970, Brazil"
"Silva W.T.M., Gutiérrez M.P.D., De Oliveira G.C.",2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048339493&doi=10.14393%2f19834071.2016.31993&partnerID=40&md5=446aaf232d436133f22bab3739bbf7e6","Departamento de Engenharia Civil, Ambiental Universidade de Brasília, Brazil","Silva, W.T.M., Departamento de Engenharia Civil, Ambiental Universidade de Brasília, Brazil; Gutiérrez, M.P.D., Departamento de Engenharia Civil, Ambiental Universidade de Brasília, Brazil; De Oliveira, G.C., Departamento de Engenharia Civil, Ambiental Universidade de Brasília, Brazil"
"Macedo R.H.",2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047719903&doi=10.1017%2fCBO9781107338357.016&partnerID=40&md5=54fefe6bdf94cbd91e01ba2e5003a081","Departamento de Zoologia - IB, Universidade de Brasilia, Brasilia, Brazil","Macedo, R.H., Departamento de Zoologia - IB, Universidade de Brasilia, Brasilia, Brazil"
"da Silva C.M., Silva D.N.H.",2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046362221&doi=10.1590%2f2175-353920150201917&partnerID=40&md5=1e3972250067583f1e0dae6bfe495b97","Universidade de Brasília, Brasília - DF, Brazil","da Silva, C.M., Universidade de Brasília, Brasília - DF, Brazil; Silva, D.N.H., Universidade de Brasília, Brasília - DF, Brazil"
"García J.A.B., De Assis A.P.",2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045755683&partnerID=40&md5=60c7223bb17b46d32445b69d982a0b52","Universidade de Brasília, UnB, Brasília-DF, Brazil","García, J.A.B., Universidade de Brasília, UnB, Brasília-DF, Brazil; De Assis, A.P., Universidade de Brasília, UnB, Brasília-DF, Brazil"
"Trindade A.A.C.",2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045438509&doi=10.1093%2facprof%3aoso%2f9780190647759.003.0011&partnerID=40&md5=c13b8043c80115fb0746e6528bbd244a","University of Brasilia, Brazil","Trindade, A.A.C., University of Brasilia, Brazil"
"Aguiar L.H.M., Zaghetto A., Zaghetto C., Ralha C.G., Vidal F.D.B.",2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040327063&partnerID=40&md5=5fc2c0ea02a2de9a009c286d58fd71bf","PPG Sist. Mecatrônicos, Universidade de Brasília, Brasília - DF, Brazil; Dept. de Ciência da Comp., Universidade de Brasília, Brasília - DF, Brazil","Aguiar, L.H.M., PPG Sist. Mecatrônicos, Universidade de Brasília, Brasília - DF, Brazil; Zaghetto, A., Dept. de Ciência da Comp., Universidade de Brasília, Brasília - DF, Brazil; Zaghetto, C., PPG Sist. Mecatrônicos, Universidade de Brasília, Brasília - DF, Brazil; Ralha, C.G., Dept. de Ciência da Comp., Universidade de Brasília, Brasília - DF, Brazil; Vidal, F.D.B., Dept. de Ciência da Comp., Universidade de Brasília, Brasília - DF, Brazil"
