Authors,Year,Link,Affiliations,Authors with affiliations
"Danon J., Muniz R.P.A., Panepucci H.",1964,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0008090960&doi=10.1063%2f1.1725786&partnerID=40&md5=e512e5454e0f8e9304153ae1f86a01d4","Centra Brasileiro de Pesquisas Físicas, Rio de Janeiro, Brazil; Universidade de Brasilia, Brasilia, Brazil; Departamentp de Física, Universidad de Buenos Aires, Buenos Aires, Argentina","Danon, J., Centra Brasileiro de Pesquisas Físicas, Rio de Janeiro, Brazil; Muniz, R.P.A., Centra Brasileiro de Pesquisas Físicas, Rio de Janeiro, Brazil, Universidade de Brasilia, Brasilia, Brazil; Panepucci, H., Centra Brasileiro de Pesquisas Físicas, Rio de Janeiro, Brazil, Departamentp de Física, Universidad de Buenos Aires, Buenos Aires, Argentina"
"Rodrigues da Silva J., Coutinho S.G., Dias L.B., de Figueiredo N.",1964,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845659766&doi=10.1007%2fBF02232578&partnerID=40&md5=a161ada34c96753c5523771f3521d4c7","From the Department of Tropical Medicine and Infections Diseases, National Faculty of Medicine, University of Brazil, Rio de Janeiro, Brazil","Rodrigues da Silva, J., From the Department of Tropical Medicine and Infections Diseases, National Faculty of Medicine, University of Brazil, Rio de Janeiro, Brazil; Coutinho, S.G., From the Department of Tropical Medicine and Infections Diseases, National Faculty of Medicine, University of Brazil, Rio de Janeiro, Brazil; Dias, L.B., From the Department of Tropical Medicine and Infections Diseases, National Faculty of Medicine, University of Brazil, Rio de Janeiro, Brazil; de Figueiredo, N., From the Department of Tropical Medicine and Infections Diseases, National Faculty of Medicine, University of Brazil, Rio de Janeiro, Brazil"
"Hargreaves A.B., Wanderley A.G., Gonçalves H.S.",1964,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-50549197310&doi=10.1016%2f0926-6569%2864%2990305-0&partnerID=40&md5=2ed0a39de7af183af4aa95acc5399c27","Instituto de Biofisica, Universidade do Brasil, Rio de Janeiro, Brazil","Hargreaves, A.B., Instituto de Biofisica, Universidade do Brasil, Rio de Janeiro, Brazil; Wanderley, A.G., Instituto de Biofisica, Universidade do Brasil, Rio de Janeiro, Brazil; Gonçalves, H.S., Instituto de Biofisica, Universidade do Brasil, Rio de Janeiro, Brazil"
"Ohashi M., Joule J.A., Gilbert B., Djerassi C.",1964,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0013774109&doi=10.1007%2fBF02147957&partnerID=40&md5=a6deece92e59f23bbe1731f89e42f48e","Department of Chemistry, Stanford University, Stanford, California, United States; Centro de Pesquisas de Produtos Naturais, Faculdade de Farmacia, Universidade do Brasil, Rio de Janeiro, Brazil","Ohashi, M., Department of Chemistry, Stanford University, Stanford, California, United States, Centro de Pesquisas de Produtos Naturais, Faculdade de Farmacia, Universidade do Brasil, Rio de Janeiro, Brazil; Joule, J.A., Department of Chemistry, Stanford University, Stanford, California, United States, Centro de Pesquisas de Produtos Naturais, Faculdade de Farmacia, Universidade do Brasil, Rio de Janeiro, Brazil; Gilbert, B., Department of Chemistry, Stanford University, Stanford, California, United States, Centro de Pesquisas de Produtos Naturais, Faculdade de Farmacia, Universidade do Brasil, Rio de Janeiro, Brazil; Djerassi, C., Department of Chemistry, Stanford University, Stanford, California, United States, Centro de Pesquisas de Produtos Naturais, Faculdade de Farmacia, Universidade do Brasil, Rio de Janeiro, Brazil"
"de Souza N.O., Panek A.",1964,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-50549199898&partnerID=40&md5=a1bfc0794c1bed49c8ef576f96fcbe7e","Biochemisry Department, National School of Chemistry, University of Brazil, Rio de Janeiro, Brazil","de Souza, N.O., Biochemisry Department, National School of Chemistry, University of Brazil, Rio de Janeiro, Brazil; Panek, A., Biochemisry Department, National School of Chemistry, University of Brazil, Rio de Janeiro, Brazil"
"Barreto R.C.R., Sabino S.O.",1964,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-49749224053&partnerID=40&md5=73234cd753c0c621f49efb38358c8c2d","Department of Biochemistry, Institute of Phthisiology and Pneumology1 1 Inst. Tisiol. Pheumol., Universidade do Brasil, P.O. Box 4485-ZC-21, Rio de Janeiro, Brazil., University of Brazil, Rio de Janeiro Brazil","Barreto, R.C.R., Department of Biochemistry, Institute of Phthisiology and Pneumology1 1 Inst. Tisiol. Pheumol., Universidade do Brasil, P.O. Box 4485-ZC-21, Rio de Janeiro, Brazil., University of Brazil, Rio de Janeiro Brazil; Sabino, S.O., Department of Biochemistry, Institute of Phthisiology and Pneumology1 1 Inst. Tisiol. Pheumol., Universidade do Brasil, P.O. Box 4485-ZC-21, Rio de Janeiro, Brazil., University of Brazil, Rio de Janeiro Brazil"
"Neto C.C., Köffer J.T., De Alencar J.W.",1964,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0005716271&partnerID=40&md5=9e6eda3a5c256aeb2a1fa58b0db424fa","Instituto de Quimica, Universidade do Brasil, Rio de Janeiro, Brazil","Neto, C.C., Instituto de Quimica, Universidade do Brasil, Rio de Janeiro, Brazil; Köffer, J.T., Instituto de Quimica, Universidade do Brasil, Rio de Janeiro, Brazil; De Alencar, J.W., Instituto de Quimica, Universidade do Brasil, Rio de Janeiro, Brazil"
"Ferreira R.",1964,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346951175&partnerID=40&md5=8eb1dc697c07c3644b6c7340d20f755f","Chemistry Department, Indiana University, Bloomington, IN, United States; University of Brasilia, BRA","Ferreira, R., Chemistry Department, Indiana University, Bloomington, IN, United States, University of Brasilia, BRA"
"Lima A.O., Seabra O., Pradez G.F., Hercules H.",1965,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-76549191863&doi=10.1159%2f000229625&partnerID=40&md5=fb1ab634fa638a5eaf6efe505fbbeea1","Department of Immunology and Pathology, la. Cadeira de Clinica Medica, Universidade do Brasil, Rio de Janeiro, Brazil","Lima, A.O., Department of Immunology and Pathology, la. Cadeira de Clinica Medica, Universidade do Brasil, Rio de Janeiro, Brazil; Seabra, O., Department of Immunology and Pathology, la. Cadeira de Clinica Medica, Universidade do Brasil, Rio de Janeiro, Brazil; Pradez, G.F., Department of Immunology and Pathology, la. Cadeira de Clinica Medica, Universidade do Brasil, Rio de Janeiro, Brazil; Hercules, H., Department of Immunology and Pathology, la. Cadeira de Clinica Medica, Universidade do Brasil, Rio de Janeiro, Brazil"
"Rocha-Miranda C.E., Oswaldo-Cruz E., Neyts F.L.K.",1965,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-50549205107&doi=10.1016%2f0013-4694%2865%2990012-X&partnerID=40&md5=0c514db9552f7e8b4088b16cab3c76a1","Instituto de Biofisica, Universidade do Brasil, Rio de Janeiro, Brazil","Rocha-Miranda, C.E., Instituto de Biofisica, Universidade do Brasil, Rio de Janeiro, Brazil; Oswaldo-Cruz, E., Instituto de Biofisica, Universidade do Brasil, Rio de Janeiro, Brazil; Neyts, F.L.K., Instituto de Biofisica, Universidade do Brasil, Rio de Janeiro, Brazil"
