Authors,Year,Link,Affiliations,Authors with affiliations
"Marinho M.M., Geraldes A.A., Bó A.P.L., Borges G.A.",2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871560773&doi=10.1109%2fSBR-LARS.2012.59&partnerID=40&md5=5ffa6e3e4e79a97e65d6d7878c8a74c0","Laboratory of Robotics and Automation (LARA), University of Brasília, Brasília, Brazil","Marinho, M.M., Laboratory of Robotics and Automation (LARA), University of Brasília, Brasília, Brazil; Geraldes, A.A., Laboratory of Robotics and Automation (LARA), University of Brasília, Brasília, Brazil; Bó, A.P.L., Laboratory of Robotics and Automation (LARA), University of Brasília, Brasília, Brazil; Borges, G.A., Laboratory of Robotics and Automation (LARA), University of Brasília, Brasília, Brazil"
"Döttling N., Müller-Quade J., Nascimento A.C.A.",2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871604999&doi=10.1007%2f978-3-642-34961-4_30&partnerID=40&md5=247f2b6dcd301c7874b530ce3676861b","Karlsruhe Institute of Technology, Karlsruhe, Germany; University of Brasilia, Brasilia, Brazil","Döttling, N., Karlsruhe Institute of Technology, Karlsruhe, Germany; Müller-Quade, J., Karlsruhe Institute of Technology, Karlsruhe, Germany; Nascimento, A.C.A., University of Brasilia, Brasilia, Brazil"
"Neto N.S.R., Muniz L.F., Costa L.P., Júnior M.T.N., da Mota L.M.H., de Carvalho J.F.",2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871579514&doi=10.5606%2ftjr.2012.050&partnerID=40&md5=6fec111a0215126f6ef5cea01f895404","Department of Rheumatology, Hospital das Clínicas da Faculdade de Medicina, Universidade de São Paulo, São Paulo, Brazil; Department of Rheumatology, Hospital Universitário de Brasília, Faculdade de Medicina, Universidade de Brasília, Brasília, Brazil","Neto, N.S.R., Department of Rheumatology, Hospital das Clínicas da Faculdade de Medicina, Universidade de São Paulo, São Paulo, Brazil; Muniz, L.F., Department of Rheumatology, Hospital das Clínicas da Faculdade de Medicina, Universidade de São Paulo, São Paulo, Brazil; Costa, L.P., Department of Rheumatology, Hospital das Clínicas da Faculdade de Medicina, Universidade de São Paulo, São Paulo, Brazil; Júnior, M.T.N., Department of Rheumatology, Hospital das Clínicas da Faculdade de Medicina, Universidade de São Paulo, São Paulo, Brazil; da Mota, L.M.H., Department of Rheumatology, Hospital Universitário de Brasília, Faculdade de Medicina, Universidade de Brasília, Brasília, Brazil; de Carvalho, J.F., Department of Rheumatology, Hospital das Clínicas da Faculdade de Medicina, Universidade de São Paulo, São Paulo, Brazil"
"Abe M., Chase M., David B., Kohlweiss M., Nishimaki R., Ohkubo M.",2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871531592&doi=10.1007%2f978-3-642-34961-4_3&partnerID=40&md5=cc70ab4f1c1332e4a9c524a37fb2c024","NTT Secure Platform Laboratories, Japan; Microsoft Research, Japan; University of Brasilia, Brazil; Security Architecture Laboratory, NSRI, NICT, Japan","Abe, M., NTT Secure Platform Laboratories, Japan; Chase, M., Microsoft Research, Japan; David, B., University of Brasilia, Brazil; Kohlweiss, M., Microsoft Research, Japan; Nishimaki, R., NTT Secure Platform Laboratories, Japan; Ohkubo, M., Security Architecture Laboratory, NSRI, NICT, Japan"
"Firyaguna F., Christófaro A.C.O., Andrade É.A.L., Bonfim T.S., Carvalho M.M.",2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871515810&doi=10.1109%2fICCChina.2012.6356971&partnerID=40&md5=f4c381ca4cc1f66de638b5075f0fc8c5","Department of Electrical Engineering, University of Brasília, Brasília, DF, 70919-970, Brazil","Firyaguna, F., Department of Electrical Engineering, University of Brasília, Brasília, DF, 70919-970, Brazil; Christófaro, A.C.O., Department of Electrical Engineering, University of Brasília, Brasília, DF, 70919-970, Brazil; Andrade, É.A.L., Department of Electrical Engineering, University of Brasília, Brasília, DF, 70919-970, Brazil; Bonfim, T.S., Department of Electrical Engineering, University of Brasília, Brasília, DF, 70919-970, Brazil; Carvalho, M.M., Department of Electrical Engineering, University of Brasília, Brasília, DF, 70919-970, Brazil"
"Sobrinho S.P., Siqueira A.G., Morais P.B., da Silva S.J.",2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871515294&doi=10.1590%2fS0100-67622012000500001&partnerID=40&md5=6274dbc1435afe5a546a83dd4702bca0","Universidade do Estado de Mato Grosso, Departamento de Agronomia, Brazil; Universidade de Brasília, UNB, Brazil; Universidade Estadual de Goiás, UEG, Brazil; Universidade Estadual de Goiás, Unidade Universitária de Porangatu, Brazil","Sobrinho, S.P., Universidade do Estado de Mato Grosso, Departamento de Agronomia, Brazil; Siqueira, A.G., Universidade de Brasília, UNB, Brazil; Morais, P.B., Universidade Estadual de Goiás, UEG, Brazil; da Silva, S.J., Universidade Estadual de Goiás, Unidade Universitária de Porangatu, Brazil"
"Lima M.R., Macedo R.H.F., Martins T.L.F., Schrey A.W., Martin L.B., Bensch S.",2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871693009&doi=10.1371%2fjournal.pone.0053332&partnerID=40&md5=d70712576d5e19646b64a403c3839ba6","Departamento de Ecologia - IB, Pós-Graduação em Ecologia, Universidade de Brasília, Brasília, Brazil; Departamento de Zoologia - IB, Universidade de Brasília, Brasília, Brazil; Centre for Ecology and Conservation, University of Exeter, Cornwall Campus, Tremough, Penryn, Cornwall, United Kingdom; Department of Integrative Biology, University of South Florida, Tampa, FL, United States; Department of Biology, Lund University, Lund, Sweden","Lima, M.R., Departamento de Ecologia - IB, Pós-Graduação em Ecologia, Universidade de Brasília, Brasília, Brazil; Macedo, R.H.F., Departamento de Zoologia - IB, Universidade de Brasília, Brasília, Brazil; Martins, T.L.F., Centre for Ecology and Conservation, University of Exeter, Cornwall Campus, Tremough, Penryn, Cornwall, United Kingdom; Schrey, A.W., Department of Integrative Biology, University of South Florida, Tampa, FL, United States; Martin, L.B., Department of Integrative Biology, University of South Florida, Tampa, FL, United States; Bensch, S., Department of Biology, Lund University, Lund, Sweden"
"Bohm C.H., Gimenes L.S.",2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871455594&doi=10.1590%2fS0102-37722012000300005&partnerID=40&md5=04eff9ec2b963b7c6fb305d2bdb69125","Universidade de Brasília, Instituto de Psicologia, Departamento de Processos Psicológicos Básicos, Campus Universitário Darcy Ribeiro, DF. CEP 70910-900, Brazil","Bohm, C.H., Universidade de Brasília, Instituto de Psicologia, Departamento de Processos Psicológicos Básicos, Campus Universitário Darcy Ribeiro, DF. CEP 70910-900, Brazil; Gimenes, L.S., Universidade de Brasília, Instituto de Psicologia, Departamento de Processos Psicológicos Básicos, Campus Universitário Darcy Ribeiro, DF. CEP 70910-900, Brazil"
"Mendes J.F., Costa I.F., de Sousa C.M.S.G.",2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871435087&partnerID=40&md5=20604280c1269e0770fd30a1911b1271","Universidade de Brasília, Brasilia, DF, Brazil","Mendes, J.F., Universidade de Brasília, Brasilia, DF, Brazil; Costa, I.F., Universidade de Brasília, Brasilia, DF, Brazil; de Sousa, C.M.S.G., Universidade de Brasília, Brasilia, DF, Brazil"
"Murta S.G., Rosa I.O., de Menezes J.C.L., Rieiro M.R.S., de Sousa Borges O., de Paulo S.G., de Oliveira V., Ribeiro D.C., Prette A.D., Prette Z.D.",2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871415630&doi=10.1590%2fS0102-37722012000300009&partnerID=40&md5=dc45387c293d07646a06764987fb6a28","Universidade de Brasilia, Brazil; Universidade Federal de São Carlos, Brazil","Murta, S.G., Universidade de Brasilia, Brazil; Rosa, I.O., Universidade de Brasilia, Brazil; de Menezes, J.C.L., Universidade de Brasilia, Brazil; Rieiro, M.R.S., Universidade de Brasilia, Brazil; de Sousa Borges, O., Universidade de Brasilia, Brazil; de Paulo, S.G., Universidade de Brasilia, Brazil; de Oliveira, V., Universidade de Brasilia, Brazil; Ribeiro, D.C., Universidade de Brasilia, Brazil; Prette, A.D., Universidade Federal de São Carlos, Brazil; Prette, Z.D., Universidade Federal de São Carlos, Brazil"
