Authors,Year,Link,Affiliations,Authors with affiliations
"Martins J.B.L., Politi J.R.S., Garcia E., Vilela A.F.A., Gargano R.",2009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77449160496&doi=10.1021%2fjp904962b&partnerID=40&md5=b8262edccd7325b4d6b83a8ce8b33682","Instituto de Quimica, Laboratório de Química Computacional and Instituto de Fisica, Universidade de Brasília, CP 4478, Brasilia, DF, 70904-970, Brazil","Martins, J.B.L., Instituto de Quimica, Laboratório de Química Computacional and Instituto de Fisica, Universidade de Brasília, CP 4478, Brasilia, DF, 70904-970, Brazil; Politi, J.R.S., Instituto de Quimica, Laboratório de Química Computacional and Instituto de Fisica, Universidade de Brasília, CP 4478, Brasilia, DF, 70904-970, Brazil; Garcia, E., Instituto de Quimica, Laboratório de Química Computacional and Instituto de Fisica, Universidade de Brasília, CP 4478, Brasilia, DF, 70904-970, Brazil; Vilela, A.F.A., Instituto de Quimica, Laboratório de Química Computacional and Instituto de Fisica, Universidade de Brasília, CP 4478, Brasilia, DF, 70904-970, Brazil; Gargano, R., Instituto de Quimica, Laboratório de Química Computacional and Instituto de Fisica, Universidade de Brasília, CP 4478, Brasilia, DF, 70904-970, Brazil"
"De Oliveira H.C.B., Rangel F.C., Esteves C.S., Vieira F.M.C., Mundim K.C.",2009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-73949136215&doi=10.1021%2fjp904807b&partnerID=40&md5=b3c2f6150e87936cc4ca1ed981351032","Instituto de Química, Universidade de Brasília, 70919-970 Brasília (DF), Brazil; Faculdade de Ciências Integradas do Pontal, Universidade Federal de Uberlândia, 38302-000 Ituiutaba (MG), Brazil","De Oliveira, H.C.B., Instituto de Química, Universidade de Brasília, 70919-970 Brasília (DF), Brazil; Rangel, F.C., Instituto de Química, Universidade de Brasília, 70919-970 Brasília (DF), Brazil; Esteves, C.S., Faculdade de Ciências Integradas do Pontal, Universidade Federal de Uberlândia, 38302-000 Ituiutaba (MG), Brazil; Vieira, F.M.C., Instituto de Química, Universidade de Brasília, 70919-970 Brasília (DF), Brazil; Mundim, K.C., Instituto de Química, Universidade de Brasília, 70919-970 Brasília (DF), Brazil"
"Roncaratti L.F., Gargano R., Magela E Silva G.",2009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-73949093099&doi=10.1021%2fjp9041759&partnerID=40&md5=48c8e0345874475f2ed059e2fa5d5068","Dipartimento di Chimica, Università di Perugia, 06123 Perugia, Italy; Instituto de Física, Universidade de Brasília, 70919-970, Brasília, Brazil","Roncaratti, L.F., Dipartimento di Chimica, Università di Perugia, 06123 Perugia, Italy; Gargano, R., Instituto de Física, Universidade de Brasília, 70919-970, Brasília, Brazil; Magela E Silva, G., Instituto de Física, Universidade de Brasília, 70919-970, Brasília, Brazil"
"Ramalho S.S., Barreto P.R.P., Martins J.B.L., Magela E Silva G., Gargano R.",2009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-73949137354&doi=10.1021%2fjp903221b&partnerID=40&md5=4c975da35f1c61793afd117a54bb313e","Instituto Federal de Educação, Ciência e Tecnologia de Goiás, IFG, Av. Universitária, Vale das Goiabeiras, Inhumas, GO, CEP 75400-000, Brazil; Instituto de Física, Universidade de Brasília, CP04455, Brasília, DF, CEP 70919-970, Brazil; LAP, Instituto Nacional de Pesquisas Espaciais, CP515, São José dos Campos, SP, CEP 12247-970, Brazil; Instituto de Química, Universidade de Brasília, CP4478, 70919-970 Brasilia, DF, Brazil","Ramalho, S.S., Instituto Federal de Educação, Ciência e Tecnologia de Goiás, IFG, Av. Universitária, Vale das Goiabeiras, Inhumas, GO, CEP 75400-000, Brazil; Barreto, P.R.P., LAP, Instituto Nacional de Pesquisas Espaciais, CP515, São José dos Campos, SP, CEP 12247-970, Brazil; Martins, J.B.L., Instituto de Química, Universidade de Brasília, CP4478, 70919-970 Brasilia, DF, Brazil; Magela E Silva, G., Instituto de Física, Universidade de Brasília, CP04455, Brasília, DF, CEP 70919-970, Brazil; Gargano, R., Instituto de Física, Universidade de Brasília, CP04455, Brasília, DF, CEP 70919-970, Brazil"
"de França L.V., Nascimento W.M., Carmona R., de Freitas R.A.",2009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-72549109150&partnerID=40&md5=4e4c05e7d04ae6d3a5daf4d0eab9e296","Universidade Federal de Pelotas (UFPel), C.P. 354, 96010-900, Pelotas, RS, Brazil; Empresa Brasileira de Pesquisa Agropecuária, Centro Nacional de Hortaliças, Rodovia Br 060, Km 9, C.P. 218, 70359-970, Brasília, DF, Brazil; Universidade de Brasília (UnB) Asa Norte, C.P. 04508, 70910-970, Brasília, DF, Brazil","de França, L.V., Universidade Federal de Pelotas (UFPel), C.P. 354, 96010-900, Pelotas, RS, Brazil; Nascimento, W.M., Empresa Brasileira de Pesquisa Agropecuária, Centro Nacional de Hortaliças, Rodovia Br 060, Km 9, C.P. 218, 70359-970, Brasília, DF, Brazil; Carmona, R., Universidade de Brasília (UnB) Asa Norte, C.P. 04508, 70910-970, Brasília, DF, Brazil; de Freitas, R.A., Empresa Brasileira de Pesquisa Agropecuária, Centro Nacional de Hortaliças, Rodovia Br 060, Km 9, C.P. 218, 70359-970, Brasília, DF, Brazil"
"Lima F.M.S.",2009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-72449199076&doi=10.1088%2f0143-0807%2f30%2f6%2fL01&partnerID=40&md5=2b2d0a817918e17fac97236610857b1c","Instituto de Física, Universidade de Brasília, PO Box 04455, 70919-970, Brasília-DF, Brazil","Lima, F.M.S., Instituto de Física, Universidade de Brasília, PO Box 04455, 70919-970, Brasília-DF, Brazil"
"Meister D., De Oliveira M.A.G.",2009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-72449169516&doi=10.1109%2fEPQU.2009.5318853&partnerID=40&md5=58ffadeb5774ddfd9efd352db7c9b68e","Ministry of Planing, Budget and Management, Brasilia-DF, Brazil; University of Brasília, Electric Engineering Department - ENE, Brasilia-DF, Brazil","Meister, D., Ministry of Planing, Budget and Management, Brasilia-DF, Brazil; De Oliveira, M.A.G., University of Brasília, Electric Engineering Department - ENE, Brasilia-DF, Brazil"
"Fernandes A.Ú.R., Portugal A., Veloso L.R., Goiato M.C., dos Santos D.M.",2009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-72449145306&doi=10.1590%2fS1806-83242009000300007&partnerID=40&md5=be40c19b9f379c18ff1d376f40b200e7","School of Dentistry of Araçatuba, São Paulo State University (UNESP), Araçatuba, SP, Brazil; University of Brasília (UnB), Brazil","Fernandes, A.Ú.R., School of Dentistry of Araçatuba, São Paulo State University (UNESP), Araçatuba, SP, Brazil; Portugal, A., University of Brasília (UnB), Brazil; Veloso, L.R., University of Brasília (UnB), Brazil; Goiato, M.C., School of Dentistry of Araçatuba, São Paulo State University (UNESP), Araçatuba, SP, Brazil; dos Santos, D.M., School of Dentistry of Araçatuba, São Paulo State University (UNESP), Araçatuba, SP, Brazil"
"Vasconcelos J.G., Wright S.J.",2009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-72449134887&doi=10.3826%2fjhr.2009.3390&partnerID=40&md5=d15339a510f901217521582590022c56","Department of Civil and Environmental Engineering, Universidade de Brasilia, Campus Universitario Darcy Ribeiro, Brasilia, DF, 70910-900, Brazil; Department of Civil and Environmental Engineering, University of Michigan, 1351 Beal Av., Ann Arbor, MI 48109, United States","Vasconcelos, J.G., Department of Civil and Environmental Engineering, Universidade de Brasilia, Campus Universitario Darcy Ribeiro, Brasilia, DF, 70910-900, Brazil; Wright, S.J., Department of Civil and Environmental Engineering, University of Michigan, 1351 Beal Av., Ann Arbor, MI 48109, United States"
"Mello B.A., Batistuta L.H., Boueri R., Cajueiro D.O.",2009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-71849117430&doi=10.1016%2fj.physleta.2009.10.062&partnerID=40&md5=4204425405e14aba8bee08db8d7a3c5c","Institute of Physics, University of Brasilia, DF 70910-900, Brazil; Institute of Applied Economic Research (IPEA), Brasilia, DF, Brazil; Department of Economics, Catholic University of Brasilia, DF, Brazil; Department of Economics, University of Brasilia, DF 70910-900, Brazil; National Institute of Science and Technology for Complex Systems, Brazil","Mello, B.A., Institute of Physics, University of Brasilia, DF 70910-900, Brazil; Batistuta, L.H., Institute of Applied Economic Research (IPEA), Brasilia, DF, Brazil, Department of Economics, Catholic University of Brasilia, DF, Brazil; Boueri, R., Institute of Applied Economic Research (IPEA), Brasilia, DF, Brazil, Department of Economics, Catholic University of Brasilia, DF, Brazil; Cajueiro, D.O., Department of Economics, University of Brasilia, DF 70910-900, Brazil, National Institute of Science and Technology for Complex Systems, Brazil"
